"Nominee","Party","Home state","Running mate","Electoral vote","Popular vote","Percentage","year","state","url"
"George W Bush","Republican","Texas","Dick Cheney","3","174 852","60 66",2000,"North_Dakota","https://en.wikipedia.org/wiki/2000_United_States_presidential_election_in_North_Dakota"
"Al Gore","Democratic","Tennessee","Joe Lieberman","0","95 284","33 05",2000,"North_Dakota","https://en.wikipedia.org/wiki/2000_United_States_presidential_election_in_North_Dakota"
"George W Bush","Republican","Texas","Dick Cheney","3","196 651","62 86",2004,"North_Dakota","https://en.wikipedia.org/wiki/2004_United_States_presidential_election_in_North_Dakota"
"John Kerry","Democratic","Massachusetts","John Edwards","0","111 052","35 50",2004,"North_Dakota","https://en.wikipedia.org/wiki/2004_United_States_presidential_election_in_North_Dakota"
"John McCain","Republican","Arizona","Sarah Palin","3","168 887","53 15",2008,"North_Dakota","https://en.wikipedia.org/wiki/2008_United_States_presidential_election_in_North_Dakota"
"Barack Obama","Democratic","Illinois","Joe Biden","0","141 403","44 50",2008,"North_Dakota","https://en.wikipedia.org/wiki/2008_United_States_presidential_election_in_North_Dakota"
"Mitt Romney","Republican","Massachusetts","Paul Ryan","3","188 320","58 32",2012,"North_Dakota","https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_North_Dakota"
"Barack Obama","Democratic","Illinois","Joe Biden","0","124 966","38 70",2012,"North_Dakota","https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_North_Dakota"
"Donald Trump","Republican","New York","Mike Pence","3","216 794","62 96",2016,"North_Dakota","https://en.wikipedia.org/wiki/2016_United_States_presidential_election_in_North_Dakota"
"Hillary Clinton","Democratic","New York","Tim Kaine","0","93 758","27 23",2016,"North_Dakota","https://en.wikipedia.org/wiki/2016_United_States_presidential_election_in_North_Dakota"
"Gary Johnson","Libertarian","New Mexico","Bill Weld","0","21 434","6 22",2016,"North_Dakota","https://en.wikipedia.org/wiki/2016_United_States_presidential_election_in_North_Dakota"
