Nominee,Party,Home.state,Running.mate,Electoral.vote,Popular.vote,Percentage,year,state,url
Hillary Clinton,Democratic,New York,Tim Kaine,14,2148278,55.45,2016,New_Jersey,https://en.wikipedia.org/wiki/2016_United_States_presidential_election_in_New_Jersey
Donald Trump,Republican,New York,Mike Pence,0,1601933,41.35,2016,New_Jersey,https://en.wikipedia.org/wiki/2016_United_States_presidential_election_in_New_Jersey
Warren G Harding,Republican,Ohio,Calvin Coolidge,3,57634,54.7,1920,New_Mexico,https://en.wikipedia.org/wiki/1920_United_States_presidential_election_in_New_Mexico
James M Cox,Democratic,Ohio,Franklin D Roosevelt,0,46668,44.3,1920,New_Mexico,https://en.wikipedia.org/wiki/1920_United_States_presidential_election_in_New_Mexico
Calvin Coolidge,Republican,Massachusetts,Charles G Dawes,3,54745,48.5,1924,New_Mexico,https://en.wikipedia.org/wiki/1924_United_States_presidential_election_in_New_Mexico
John W Davis,Democratic,West Virginia,Charles W Bryan,0,48542,43,1924,New_Mexico,https://en.wikipedia.org/wiki/1924_United_States_presidential_election_in_New_Mexico
Robert M La Follette,Progressive,Wisconsin,Burton K Wheeler,0,9543,8.5,1924,New_Mexico,https://en.wikipedia.org/wiki/1924_United_States_presidential_election_in_New_Mexico
Herbert Hoover,Republican,California,Charles Curtis,3,69645,59,1928,New_Mexico,https://en.wikipedia.org/wiki/1928_United_States_presidential_election_in_New_Mexico
Al Smith,Democratic,New York,Joseph T Robinson,0,48211,40.9,1928,New_Mexico,https://en.wikipedia.org/wiki/1928_United_States_presidential_election_in_New_Mexico
Franklin D Roosevelt,Democratic,New York,John N Garner,3,95089,62.7,1932,New_Mexico,https://en.wikipedia.org/wiki/1932_United_States_presidential_election_in_New_Mexico
Herbert Hoover,Republican,California,Charles Curtis,0,54217,35.8,1932,New_Mexico,https://en.wikipedia.org/wiki/1932_United_States_presidential_election_in_New_Mexico
Franklin D Roosevelt,Democratic,New York,John N Garner,3,106037,62.7,1936,New_Mexico,https://en.wikipedia.org/wiki/1936_United_States_presidential_election_in_New_Mexico
Alf Landon,Republican,Kansas,Frank Knox,0,61727,36.5,1936,New_Mexico,https://en.wikipedia.org/wiki/1936_United_States_presidential_election_in_New_Mexico
Franklin D Roosevelt,Democratic,New York,Henry A Wallace,3,103699,56.6,1940,New_Mexico,https://en.wikipedia.org/wiki/1940_United_States_presidential_election_in_New_Mexico
Wendell Willkie,Republican,Indiana,Charles L McNary,0,79315,43.3,1940,New_Mexico,https://en.wikipedia.org/wiki/1940_United_States_presidential_election_in_New_Mexico
Franklin D Roosevelt,Democratic,New York,Harry S Truman,4,81389,53.5,1944,New_Mexico,https://en.wikipedia.org/wiki/1944_United_States_presidential_election_in_New_Mexico
Thomas E Dewey,Republican,New York,John W Bricker,0,70688,46.4,1944,New_Mexico,https://en.wikipedia.org/wiki/1944_United_States_presidential_election_in_New_Mexico
Harry S Truman,Democratic,Missouri,Alben W Barkley,4,105464,56.4,1948,New_Mexico,https://en.wikipedia.org/wiki/1948_United_States_presidential_election_in_New_Mexico
Thomas E Dewey,Republican,New York,Earl Warren,0,80303,42.9,1948,New_Mexico,https://en.wikipedia.org/wiki/1948_United_States_presidential_election_in_New_Mexico
Dwight D Eisenhower,Republican,New York,Richard Nixon,4,132170,55.4,1952,New_Mexico,https://en.wikipedia.org/wiki/1952_United_States_presidential_election_in_New_Mexico
Adlai Stevenson,Democratic,Illinois,John Sparkman,0,105661,44.3,1952,New_Mexico,https://en.wikipedia.org/wiki/1952_United_States_presidential_election_in_New_Mexico
Dwight D Eisenhower,Republican,Pennsylvania,Richard Nixon,4,146788,57.8,1956,New_Mexico,https://en.wikipedia.org/wiki/1956_United_States_presidential_election_in_New_Mexico
Adlai Stevenson,Democratic,Illinois,Estes Kefauver,0,106098,41.8,1956,New_Mexico,https://en.wikipedia.org/wiki/1956_United_States_presidential_election_in_New_Mexico
John F Kennedy,Democratic,Massachusetts,Lyndon B Johnson,4,156027,50.2,1960,New_Mexico,https://en.wikipedia.org/wiki/1960_United_States_presidential_election_in_New_Mexico
Richard Nixon,Republican,California,Henry Cabot Lodge Jr,0,153733,49.4,1960,New_Mexico,https://en.wikipedia.org/wiki/1960_United_States_presidential_election_in_New_Mexico
Lyndon B Johnson,Democratic,Texas,Hubert Humphrey,4,194017,59.2,1964,New_Mexico,https://en.wikipedia.org/wiki/1964_United_States_presidential_election_in_New_Mexico
Barry Goldwater,Republican,Arizona,William E Miller,0,131838,40.2,1964,New_Mexico,https://en.wikipedia.org/wiki/1964_United_States_presidential_election_in_New_Mexico
Richard Nixon,Republican,New York,Spiro Agnew,4,169692,51.85,1968,New_Mexico,https://en.wikipedia.org/wiki/1968_United_States_presidential_election_in_New_Mexico
Hubert Humphrey,Democratic,Minnesota,Edmund Muskie,0,130081,39.75,1968,New_Mexico,https://en.wikipedia.org/wiki/1968_United_States_presidential_election_in_New_Mexico
George Wallace,American Independent,Alabama,S Marvin Griffin,0,25737,7.86,1968,New_Mexico,https://en.wikipedia.org/wiki/1968_United_States_presidential_election_in_New_Mexico
Richard Nixon,Republican,California,Spiro Agnew,4,235606,61.1,1972,New_Mexico,https://en.wikipedia.org/wiki/1972_United_States_presidential_election_in_New_Mexico
George McGovern,Democratic,South Dakota,Sargent Shriver replacing Thomas Eagleton,0,141084,36.6,1972,New_Mexico,https://en.wikipedia.org/wiki/1972_United_States_presidential_election_in_New_Mexico
Gerald Ford,Republican,Michigan,Bob Dole,4,211419,50.8,1976,New_Mexico,https://en.wikipedia.org/wiki/1976_United_States_presidential_election_in_New_Mexico
Jimmy Carter,Democratic,Georgia,Walter Mondale,0,201148,48.3,1976,New_Mexico,https://en.wikipedia.org/wiki/1976_United_States_presidential_election_in_New_Mexico
Ronald Reagan,Republican,California,George H W Bush,4,250779,54.97,1980,New_Mexico,https://en.wikipedia.org/wiki/1980_United_States_presidential_election_in_New_Mexico
Jimmy Carter,Democratic,Georgia,Walter Mondale,0,167826,36.78,1980,New_Mexico,https://en.wikipedia.org/wiki/1980_United_States_presidential_election_in_New_Mexico
John B Anderson,Independent,Illinois,Patrick Lucey,0,29459,6.46,1980,New_Mexico,https://en.wikipedia.org/wiki/1980_United_States_presidential_election_in_New_Mexico
Ronald Reagan,Republican,California,George H W Bush,5,307101,59.7,1984,New_Mexico,https://en.wikipedia.org/wiki/1984_United_States_presidential_election_in_New_Mexico
Walter Mondale,Democratic,Minnesota,Geraldine Ferraro,0,201769,39.23,1984,New_Mexico,https://en.wikipedia.org/wiki/1984_United_States_presidential_election_in_New_Mexico
George H W Bush,Republican,Texas,Dan Quayle,5,270341,51.86,1988,New_Mexico,https://en.wikipedia.org/wiki/1988_United_States_presidential_election_in_New_Mexico
Michael Dukakis,Democratic,Massachusetts,Lloyd Bentsen,0,244497,46.9,1988,New_Mexico,https://en.wikipedia.org/wiki/1988_United_States_presidential_election_in_New_Mexico
Bill Clinton,Democratic,Arkansas,Al Gore,5,261617,45.9,1992,New_Mexico,https://en.wikipedia.org/wiki/1992_United_States_presidential_election_in_New_Mexico
George H W Bush,Republican,Texas,Dan Quayle,0,212824,37.34,1992,New_Mexico,https://en.wikipedia.org/wiki/1992_United_States_presidential_election_in_New_Mexico
Ross Perot,Independent,Texas,James Stockdale,0,91895,16.12,1992,New_Mexico,https://en.wikipedia.org/wiki/1992_United_States_presidential_election_in_New_Mexico
Bill Clinton,Democratic,Arkansas,Al Gore,5,273495,49.18,1996,New_Mexico,https://en.wikipedia.org/wiki/1996_United_States_presidential_election_in_New_Mexico
Bob Dole,Republican,Kansas,Jack Kemp,0,232751,41.86,1996,New_Mexico,https://en.wikipedia.org/wiki/1996_United_States_presidential_election_in_New_Mexico
Ross Perot,Reform,Texas,Pat Choate,0,32257,5.8,1996,New_Mexico,https://en.wikipedia.org/wiki/1996_United_States_presidential_election_in_New_Mexico
Al Gore,Democratic,Tennessee,Joe Lieberman,5,286783,47.91,2000,New_Mexico,https://en.wikipedia.org/wiki/2000_United_States_presidential_election_in_New_Mexico
George W Bush,Republican,Texas,Dick Cheney,0,286417,47.85,2000,New_Mexico,https://en.wikipedia.org/wiki/2000_United_States_presidential_election_in_New_Mexico
George W Bush,Republican,Texas,Dick Cheney,5,376930,49.84,2004,New_Mexico,https://en.wikipedia.org/wiki/2004_United_States_presidential_election_in_New_Mexico
John Kerry,Democratic,Massachusetts,John Edwards,0,370942,49.05,2004,New_Mexico,https://en.wikipedia.org/wiki/2004_United_States_presidential_election_in_New_Mexico
Barack Obama,Democratic,Illinois,Joe Biden,5,472422,56.91,2008,New_Mexico,https://en.wikipedia.org/wiki/2008_United_States_presidential_election_in_New_Mexico
John McCain,Republican,Arizona,Sarah Palin,0,346832,41.78,2008,New_Mexico,https://en.wikipedia.org/wiki/2008_United_States_presidential_election_in_New_Mexico
Barack Obama,Democratic,Illinois,Joe Biden,5,415335,52.99,2012,New_Mexico,https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_New_Mexico
Mitt Romney,Republican,Massachusetts,Paul Ryan,0,335788,42.84,2012,New_Mexico,https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_New_Mexico
Hillary Clinton,Democratic,New York,Tim Kaine,5,385234,48.26,2016,New_Mexico,https://en.wikipedia.org/wiki/2016_United_States_presidential_election_in_New_Mexico
Donald Trump,Republican,New York,Mike Pence,0,319667,40.04,2016,New_Mexico,https://en.wikipedia.org/wiki/2016_United_States_presidential_election_in_New_Mexico
Gary Johnson,Libertarian,New Mexico,Bill Weld,0,74541,9.34,2016,New_Mexico,https://en.wikipedia.org/wiki/2016_United_States_presidential_election_in_New_Mexico
Warren G Harding,Republican,Ohio,Calvin Coolidge,45,1871167,64.56,1920,New_York,https://en.wikipedia.org/wiki/1920_United_States_presidential_election_in_New_York
James M Cox,Democratic,Ohio,Franklin D Roosevelt,0,781238,26.95,1920,New_York,https://en.wikipedia.org/wiki/1920_United_States_presidential_election_in_New_York
Eugene V Debs,Socialist,Indiana,Seymour Stedman,0,203201,7.01,1920,New_York,https://en.wikipedia.org/wiki/1920_United_States_presidential_election_in_New_York
Calvin Coolidge,Republican,Massachusetts,Charles G Dawes,45,1820058,55.76,1924,New_York,https://en.wikipedia.org/wiki/1924_United_States_presidential_election_in_New_York
John W Davis,Democratic,West Virginia,Charles W Bryan,0,950796,29.13,1924,New_York,https://en.wikipedia.org/wiki/1924_United_States_presidential_election_in_New_York
Robert M La Follette,Progressive,Wisconsin,Burton K Wheeler,0,474913,14.55,1924,New_York,https://en.wikipedia.org/wiki/1924_United_States_presidential_election_in_New_York
Herbert Hoover,Republican,California,Charles Curtis,45,2193344,49.79,1928,New_York,https://en.wikipedia.org/wiki/1928_United_States_presidential_election_in_New_York
Al Smith,Democratic,New York,Joseph T Robinson,0,2089863,47.44,1928,New_York,https://en.wikipedia.org/wiki/1928_United_States_presidential_election_in_New_York
Franklin D Roosevelt,Democratic,New York,John N Garner,47,2534959,54.07,1932,New_York,https://en.wikipedia.org/wiki/1932_United_States_presidential_election_in_New_York
Herbert Hoover,Republican,California,Charles Curtis,0,1937963,41.33,1932,New_York,https://en.wikipedia.org/wiki/1932_United_States_presidential_election_in_New_York
Franklin D Roosevelt,Democratic,New York,John N Garner,47,3293222,58.85,1936,New_York,https://en.wikipedia.org/wiki/1936_United_States_presidential_election_in_New_York
Alf Landon,Republican,Kansas,Frank Knox,0,2180670,38.97,1936,New_York,https://en.wikipedia.org/wiki/1936_United_States_presidential_election_in_New_York
Franklin D Roosevelt,Democratic,New York,Henry A Wallace,47,3251918,51.5,1940,New_York,https://en.wikipedia.org/wiki/1940_United_States_presidential_election_in_New_York
Wendell Willkie,Republican,Indiana,Charles L McNary,0,3027478,47.95,1940,New_York,https://en.wikipedia.org/wiki/1940_United_States_presidential_election_in_New_York
Franklin D Roosevelt,Democratic,New York,Harry S Truman,47,3304238,52.31,1944,New_York,https://en.wikipedia.org/wiki/1944_United_States_presidential_election_in_New_York
Thomas E Dewey,Republican,New York,John W Bricker,0,2987647,47.3,1944,New_York,https://en.wikipedia.org/wiki/1944_United_States_presidential_election_in_New_York
Thomas E Dewey,Republican,New York,Earl Warren,47,2841163,45.99,1948,New_York,https://en.wikipedia.org/wiki/1948_United_States_presidential_election_in_New_York
Harry S Truman,Democratic,Missouri,Alben W Barkley,0,2780204,45.01,1948,New_York,https://en.wikipedia.org/wiki/1948_United_States_presidential_election_in_New_York
Henry Wallace,American Labor,Iowa,Glen Taylor,0,509559,8.25,1948,New_York,https://en.wikipedia.org/wiki/1948_United_States_presidential_election_in_New_York
Dwight D Eisenhower,Republican,New York,Richard Nixon,45,3952815,55.45,1952,New_York,https://en.wikipedia.org/wiki/1952_United_States_presidential_election_in_New_York
Adlai Stevenson,Democratic,Illinois,John Sparkman,0,3104601,43.55,1952,New_York,https://en.wikipedia.org/wiki/1952_United_States_presidential_election_in_New_York
Dwight D Eisenhower,Republican,Pennsylvania,Richard Nixon,45,4345506,61.24,1956,New_York,https://en.wikipedia.org/wiki/1956_United_States_presidential_election_in_New_York
Adlai Stevenson,Democratic,Illinois,Estes Kefauver,0,2747944,38.73,1956,New_York,https://en.wikipedia.org/wiki/1956_United_States_presidential_election_in_New_York
John F Kennedy,Democratic,Massachusetts,Lyndon B Johnson,45,3830085,52.53,1960,New_York,https://en.wikipedia.org/wiki/1960_United_States_presidential_election_in_New_York
Richard Nixon,Republican,California,Henry Cabot Lodge Jr,0,3446419,47.27,1960,New_York,https://en.wikipedia.org/wiki/1960_United_States_presidential_election_in_New_York
Lyndon B Johnson,Democratic,Texas,Hubert Humphrey,43,4913156,68.56,1964,New_York,https://en.wikipedia.org/wiki/1964_United_States_presidential_election_in_New_York
Barry Goldwater,Republican,Arizona,William E Miller,0,2243559,31.31,1964,New_York,https://en.wikipedia.org/wiki/1964_United_States_presidential_election_in_New_York
Hubert Humphrey,Democratic,Minnesota,Edmund Muskie,43,3378470,49.76,1968,New_York,https://en.wikipedia.org/wiki/1968_United_States_presidential_election_in_New_York
Richard Nixon,Republican,New York b,Spiro Agnew,0,3007932,44.3,1968,New_York,https://en.wikipedia.org/wiki/1968_United_States_presidential_election_in_New_York
George Wallace,Courage,Alabama,Marvin Griffin,0,358864,5.29,1968,New_York,https://en.wikipedia.org/wiki/1968_United_States_presidential_election_in_New_York
Richard Nixon,Republican,California,Spiro Agnew,41,4192778,58.54,1972,New_York,https://en.wikipedia.org/wiki/1972_United_States_presidential_election_in_New_York
George McGovern,Democratic,South Dakota,Sargent Shriver replacing Thomas Eagleton,0,2951084,41.21,1972,New_York,https://en.wikipedia.org/wiki/1972_United_States_presidential_election_in_New_York
Jimmy Carter,Democratic,Georgia,Walter Mondale,41,3389558,51.95,1976,New_York,https://en.wikipedia.org/wiki/1976_United_States_presidential_election_in_New_York
Gerald Ford,Republican,Michigan,Bob Dole,0,3100791,47.52,1976,New_York,https://en.wikipedia.org/wiki/1976_United_States_presidential_election_in_New_York
Ronald Reagan,Republican,California,George H W Bush,41,2893831,46.66,1980,New_York,https://en.wikipedia.org/wiki/1980_United_States_presidential_election_in_New_York
Jimmy Carter,Democratic,Georgia,Walter Mondale,0,2728372,43.99,1980,New_York,https://en.wikipedia.org/wiki/1980_United_States_presidential_election_in_New_York
John B Anderson,Liberal,Illinois,Patrick Lucey,0,467801,7.54,1980,New_York,https://en.wikipedia.org/wiki/1980_United_States_presidential_election_in_New_York
Ronald Reagan,Republican,California,George H W Bush,36,3664763,53.84,1984,New_York,https://en.wikipedia.org/wiki/1984_United_States_presidential_election_in_New_York
Walter Mondale,Democratic,Minnesota,Geraldine Ferraro,0,3119609,45.83,1984,New_York,https://en.wikipedia.org/wiki/1984_United_States_presidential_election_in_New_York
Michael Dukakis,Democratic,Massachusetts,Lloyd Bentsen,36,3347882,51.62,1988,New_York,https://en.wikipedia.org/wiki/1988_United_States_presidential_election_in_New_York
George H W Bush,Republican,Texas,Dan Quayle,0,3081871,47.52,1988,New_York,https://en.wikipedia.org/wiki/1988_United_States_presidential_election_in_New_York
Bill Clinton,Democratic,Arkansas,Al Gore,33,3444450,49.73,1992,New_York,https://en.wikipedia.org/wiki/1992_United_States_presidential_election_in_New_York
George H W Bush,Republican,Texas,Dan Quayle,0,2346649,33.88,1992,New_York,https://en.wikipedia.org/wiki/1992_United_States_presidential_election_in_New_York
Ross Perot,Independent,Texas,James Stockdale,0,1090721,15.75,1992,New_York,https://en.wikipedia.org/wiki/1992_United_States_presidential_election_in_New_York
Bill Clinton,Democratic,Arkansas,Al Gore,33,3756177,59.47,1996,New_York,https://en.wikipedia.org/wiki/1996_United_States_presidential_election_in_New_York
Bob Dole,Republican,Kansas,Jack Kemp,0,1933492,30.61,1996,New_York,https://en.wikipedia.org/wiki/1996_United_States_presidential_election_in_New_York
Ross Perot,Independence,Texas,Pat Choate,0,503458,7.97,1996,New_York,https://en.wikipedia.org/wiki/1996_United_States_presidential_election_in_New_York
Al Gore,Democratic,Tennessee,Joe Lieberman,33,4113791,60.22,2000,New_York,https://en.wikipedia.org/wiki/2000_United_States_presidential_election_in_New_York
George W Bush,Republican,Texas,Dick Cheney,0,2405676,35.22,2000,New_York,https://en.wikipedia.org/wiki/2000_United_States_presidential_election_in_New_York
John Kerry,Democratic,Massachusetts,John Edwards,31,4314280,58.37,2004,New_York,https://en.wikipedia.org/wiki/2004_United_States_presidential_election_in_New_York
George W Bush,Republican,Texas,Dick Cheney,0,2962567,40.08,2004,New_York,https://en.wikipedia.org/wiki/2004_United_States_presidential_election_in_New_York
Barack Obama,Democratic,Illinois,Joe Biden,31,4804945,62.88,2008,New_York,https://en.wikipedia.org/wiki/2008_United_States_presidential_election_in_New_York
John McCain,Republican,Arizona,Sarah Palin,0,2752771,36.03,2008,New_York,https://en.wikipedia.org/wiki/2008_United_States_presidential_election_in_New_York
Barack Obama,Democratic,Illinois,Joe Biden,29,4485877,63.35,2012,New_York,https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_New_York
Mitt Romney,Republican,Massachusetts,Paul Ryan,0,2490496,35.17,2012,New_York,https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_New_York
Hillary Clinton,Democratic,New York,Tim Kaine,29,4556124,59.01,2016,New_York,https://en.wikipedia.org/wiki/2016_United_States_presidential_election_in_New_York
Donald Trump,Republican,New York,Mike Pence,0,2819534,36.52,2016,New_York,https://en.wikipedia.org/wiki/2016_United_States_presidential_election_in_New_York
James M Cox,Democratic,Ohio,Franklin D Roosevelt,12,305447,56.69,1920,North_Carolina,https://en.wikipedia.org/wiki/1920_United_States_presidential_election_in_North_Carolina
Warren G Harding,Republican,Ohio,Calvin Coolidge,0,232848,43.22,1920,North_Carolina,https://en.wikipedia.org/wiki/1920_United_States_presidential_election_in_North_Carolina
John W Davis,Democratic,West Virginia,Charles W Bryan,12,284270,58.89,1924,North_Carolina,https://en.wikipedia.org/wiki/1924_United_States_presidential_election_in_North_Carolina
Calvin Coolidge,Republican,Massachusetts,Charles G Dawes,0,191753,39.73,1924,North_Carolina,https://en.wikipedia.org/wiki/1924_United_States_presidential_election_in_North_Carolina
Herbert Hoover,Republican,California,Charles Curtis,12,348923,54.94,1928,North_Carolina,https://en.wikipedia.org/wiki/1928_United_States_presidential_election_in_North_Carolina
Al Smith,Democratic,New York,Joseph T Robinson,0,286227,45.06,1928,North_Carolina,https://en.wikipedia.org/wiki/1928_United_States_presidential_election_in_North_Carolina
Franklin D Roosevelt,Democratic,New York,John Nance Garner,13,497566,69.9,1932,North_Carolina,https://en.wikipedia.org/wiki/1932_United_States_presidential_election_in_North_Carolina
Herbert Hoover,Republican,California,Charles Curtis,0,208344,29.3,1932,North_Carolina,https://en.wikipedia.org/wiki/1932_United_States_presidential_election_in_North_Carolina
Franklin D Roosevelt,Democratic,New York,John Nance Garner,13,616141,73.4,1936,North_Carolina,https://en.wikipedia.org/wiki/1936_United_States_presidential_election_in_North_Carolina
Alf Landon,Republican,Kansas,Frank Knox,0,223283,26.6,1936,North_Carolina,https://en.wikipedia.org/wiki/1936_United_States_presidential_election_in_North_Carolina
Franklin D Roosevelt,Democratic,New York,Henry A Wallace,13,609015,74.03,1940,North_Carolina,https://en.wikipedia.org/wiki/1940_United_States_presidential_election_in_North_Carolina
Wendell Willkie,Republican,Indiana,Charles L McNary,0,213633,25.97,1940,North_Carolina,https://en.wikipedia.org/wiki/1940_United_States_presidential_election_in_North_Carolina
Franklin D Roosevelt,Democratic,New York,Harry S Truman,14,527399,66.7,1944,North_Carolina,https://en.wikipedia.org/wiki/1944_United_States_presidential_election_in_North_Carolina
Thomas E Dewey,Republican,New York,John W Bricker,0,263155,33.3,1944,North_Carolina,https://en.wikipedia.org/wiki/1944_United_States_presidential_election_in_North_Carolina
Harry S Truman,Democratic,Missouri,Alben W Barkley,14,459070,58,1948,North_Carolina,https://en.wikipedia.org/wiki/1948_United_States_presidential_election_in_North_Carolina
Thomas E Dewey,Republican,New York,Earl Warren,0,258572,32.7,1948,North_Carolina,https://en.wikipedia.org/wiki/1948_United_States_presidential_election_in_North_Carolina
Strom Thurmond,Dixiecrat,South Carolina,Fielding L Wright,0,69652,8.8,1948,North_Carolina,https://en.wikipedia.org/wiki/1948_United_States_presidential_election_in_North_Carolina
Adlai Stevenson,Democratic,Illinois,John Sparkman,14,652803,53.9,1952,North_Carolina,https://en.wikipedia.org/wiki/1952_United_States_presidential_election_in_North_Carolina
Dwight D Eisenhower,Republican,New York,Richard Nixon,0,558107,46.1,1952,North_Carolina,https://en.wikipedia.org/wiki/1952_United_States_presidential_election_in_North_Carolina
Adlai Stevenson,Democratic,Illinois,Estes Kefauver,14,590530,50.7,1956,North_Carolina,https://en.wikipedia.org/wiki/1956_United_States_presidential_election_in_North_Carolina
Dwight D Eisenhower,Republican,Pennsylvania,Richard Nixon,0,575062,49.3,1956,North_Carolina,https://en.wikipedia.org/wiki/1956_United_States_presidential_election_in_North_Carolina
John F Kennedy,Democratic,Massachusetts,Lyndon B Johnson,14,713136,52.1,1960,North_Carolina,https://en.wikipedia.org/wiki/1960_United_States_presidential_election_in_North_Carolina
Richard Nixon,Republican,California,Henry Cabot Lodge Jr,0,655420,47.9,1960,North_Carolina,https://en.wikipedia.org/wiki/1960_United_States_presidential_election_in_North_Carolina
Lyndon B Johnson,Democratic,Texas,Hubert Humphrey,13,800139,56.1,1964,North_Carolina,https://en.wikipedia.org/wiki/1964_United_States_presidential_election_in_North_Carolina
Barry Goldwater,Republican,Arizona,William E Miller,0,624844,43.9,1964,North_Carolina,https://en.wikipedia.org/wiki/1964_United_States_presidential_election_in_North_Carolina
Richard M Nixon,Republican,New York,Spiro T Agnew,12,627192,39.5,1968,North_Carolina,https://en.wikipedia.org/wiki/1968_United_States_presidential_election_in_North_Carolina
George Wallace,American,Alabama,Curtis LeMay,1,496188,31.3,1968,North_Carolina,https://en.wikipedia.org/wiki/1968_United_States_presidential_election_in_North_Carolina
Hubert Humphrey,Democratic,Minnesota,Edmund Muskie,0,464113,29.2,1968,North_Carolina,https://en.wikipedia.org/wiki/1968_United_States_presidential_election_in_North_Carolina
Richard Nixon,Republican,California,Spiro Agnew,13,1054889,69.5,1972,North_Carolina,https://en.wikipedia.org/wiki/1972_United_States_presidential_election_in_North_Carolina
George McGovern,Democratic,South Dakota,Sargent Shriver,0,438705,28.9,1972,North_Carolina,https://en.wikipedia.org/wiki/1972_United_States_presidential_election_in_North_Carolina
Jimmy Carter,Democratic,Georgia,Walter Mondale,13,927365,55.27,1976,North_Carolina,https://en.wikipedia.org/wiki/1976_United_States_presidential_election_in_North_Carolina
Gerald Ford,Republican,Michigan,Bob Dole,0,741960,44.22,1976,North_Carolina,https://en.wikipedia.org/wiki/1976_United_States_presidential_election_in_North_Carolina
Ronald Reagan,Republican,California,George H W Bush,13,915018,49.3,1980,North_Carolina,https://en.wikipedia.org/wiki/1980_United_States_presidential_election_in_North_Carolina
Jimmy Carter,Democratic,Georgia,Walter Mondale,0,875635,47.18,1980,North_Carolina,https://en.wikipedia.org/wiki/1980_United_States_presidential_election_in_North_Carolina
Ronald Reagan,Republican,California,George H W Bush,13,1346481,61.9,1984,North_Carolina,https://en.wikipedia.org/wiki/1984_United_States_presidential_election_in_North_Carolina
Walter Mondale,Democratic,Minnesota,Geraldine Ferraro,0,824287,37.89,1984,North_Carolina,https://en.wikipedia.org/wiki/1984_United_States_presidential_election_in_North_Carolina
George H W Bush,Republican,Texas,Dan Quayle,13,1237258,57.97,1988,North_Carolina,https://en.wikipedia.org/wiki/1988_United_States_presidential_election_in_North_Carolina
Michael Dukakis,Democratic,Massachusetts,Lloyd Bentsen,0,890167,41.71,1988,North_Carolina,https://en.wikipedia.org/wiki/1988_United_States_presidential_election_in_North_Carolina
George H W Bush,Republican,Texas,Dan Quayle,14,1134661,43.44,1992,North_Carolina,https://en.wikipedia.org/wiki/1992_United_States_presidential_election_in_North_Carolina
Bill Clinton,Democratic,Arkansas,Al Gore,0,1114042,42.65,1992,North_Carolina,https://en.wikipedia.org/wiki/1992_United_States_presidential_election_in_North_Carolina
Ross Perot,Independent,Texas,James Stockdale,0,357864,13.7,1992,North_Carolina,https://en.wikipedia.org/wiki/1992_United_States_presidential_election_in_North_Carolina
Bob Dole,Republican,Kansas,Jack Kemp,14,1225938,48.73,1996,North_Carolina,https://en.wikipedia.org/wiki/1996_United_States_presidential_election_in_North_Carolina
Bill Clinton,Democratic,Arkansas,Al Gore,0,1107849,44.04,1996,North_Carolina,https://en.wikipedia.org/wiki/1996_United_States_presidential_election_in_North_Carolina
Ross Perot,Reform,Texas,Pat Choate,0,168059,6.68,1996,North_Carolina,https://en.wikipedia.org/wiki/1996_United_States_presidential_election_in_North_Carolina
George W Bush,Republican,Texas,Dick Cheney,14,1631163,56.03,2000,North_Carolina,https://en.wikipedia.org/wiki/2000_United_States_presidential_election_in_North_Carolina
Al Gore,Democratic,Tennessee,Joe Lieberman,0,1257692,43.2,2000,North_Carolina,https://en.wikipedia.org/wiki/2000_United_States_presidential_election_in_North_Carolina
George W Bush,Republican,Texas,Dick Cheney,15,1961166,56.02,2004,North_Carolina,https://en.wikipedia.org/wiki/2004_United_States_presidential_election_in_North_Carolina
John Kerry,Democratic,Massachusetts,John Edwards,0,1525849,43.58,2004,North_Carolina,https://en.wikipedia.org/wiki/2004_United_States_presidential_election_in_North_Carolina
Barack Obama,Democratic,Illinois,Joe Biden,15,2142651,49.7,2008,North_Carolina,https://en.wikipedia.org/wiki/2008_United_States_presidential_election_in_North_Carolina
John McCain,Republican,Arizona,Sarah Palin,0,2128474,49.38,2008,North_Carolina,https://en.wikipedia.org/wiki/2008_United_States_presidential_election_in_North_Carolina
Mitt Romney,Republican,Massachusetts,Paul Ryan,15,2270395,50.39,2012,North_Carolina,https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_North_Carolina
Barack Obama,Democratic,Illinois,Joe Biden,0,2178391,48.35,2012,North_Carolina,https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_North_Carolina
Donald Trump,Republican,New York,Mike Pence,15,2362631,49.83,2016,North_Carolina,https://en.wikipedia.org/wiki/2016_United_States_presidential_election_in_North_Carolina
Hillary Clinton,Democratic,New York,Tim Kaine,0,2189316,46.17,2016,North_Carolina,https://en.wikipedia.org/wiki/2016_United_States_presidential_election_in_North_Carolina
Warren G Harding,Republican,Ohio,Calvin Coolidge,5,160072,77.97,1920,North_Dakota,https://en.wikipedia.org/wiki/1920_United_States_presidential_election_in_North_Dakota
James M Cox,Democratic,Ohio,Franklin D Roosevelt,0,37422,18.19,1920,North_Dakota,https://en.wikipedia.org/wiki/1920_United_States_presidential_election_in_North_Dakota
