Nominee,Party,Home.state,Running.mate,Electoral.vote,Popular.vote,Percentage,year,state,url
Strom Thurmond,Dixiecrat,South Carolina,Fielding L Wright,11,171443,79.75,1948,Alabama,https://en.wikipedia.org/wiki/1948_United_States_presidential_election_in_Alabama
Thomas E Dewey,Republican,New York,Earl Warren,0,40930,19.04,1948,Alabama,https://en.wikipedia.org/wiki/1948_United_States_presidential_election_in_Alabama
Adlai Stevenson,Democratic,Illinois,John Sparkman,11,275075,64.6,1952,Alabama,https://en.wikipedia.org/wiki/1952_United_States_presidential_election_in_Alabama
Dwight D Eisenhower,Republican,New York,Richard Nixon,0,149231,35,1952,Alabama,https://en.wikipedia.org/wiki/1952_United_States_presidential_election_in_Alabama
Adlai Stevenson,Democratic,Illinois,Estes Kefauver,10,280844,56.52,1956,Alabama,https://en.wikipedia.org/wiki/1956_United_States_presidential_election_in_Alabama
Dwight D Eisenhower,Republican,Pennsylvania,Richard Nixon,0,195694,39.39,1956,Alabama,https://en.wikipedia.org/wiki/1956_United_States_presidential_election_in_Alabama
Harry F Byrd by unpledged electors,Southern Democrat,Virginia,Strom Thurmond,6,324050,57.43,1960,Alabama,https://en.wikipedia.org/wiki/1960_United_States_presidential_election_in_Alabama
John F Kennedy,Democratic,Massachusetts,Lyndon B Johnson,5,318303,56.41,1960,Alabama,https://en.wikipedia.org/wiki/1960_United_States_presidential_election_in_Alabama
Richard Nixon,Republican,California,Henry Cabot Lodge Jr,0,237981,42.18,1960,Alabama,https://en.wikipedia.org/wiki/1960_United_States_presidential_election_in_Alabama
Barry Goldwater,Republican,Arizona,William E Miller,10,479085,69.5,1964,Alabama,https://en.wikipedia.org/wiki/1964_United_States_presidential_election_in_Alabama
Unpledged electors,Democratic,Alabama,William E Miller,0,210732,30.5,1964,Alabama,https://en.wikipedia.org/wiki/1964_United_States_presidential_election_in_Alabama
George Wallace,American Independent,Alabama,Curtis LeMay,10,691425,65.9,1968,Alabama,https://en.wikipedia.org/wiki/1968_United_States_presidential_election_in_Alabama
Hubert Humphrey,Democratic,Minnesota,Edmund Muskie,0,196597,18.7,1968,Alabama,https://en.wikipedia.org/wiki/1968_United_States_presidential_election_in_Alabama
Richard Nixon,Republican,New York,Spiro Agnew,0,146923,14,1968,Alabama,https://en.wikipedia.org/wiki/1968_United_States_presidential_election_in_Alabama
Richard Nixon,Republican,California,Spiro Agnew,9,728701,72.4,1972,Alabama,https://en.wikipedia.org/wiki/1972_United_States_presidential_election_in_Alabama
George McGovern,Democratic,South Dakota,Sargent Shriver replacing Thomas Eagleton,0,256923,25.5,1972,Alabama,https://en.wikipedia.org/wiki/1972_United_States_presidential_election_in_Alabama
Jimmy Carter,Democratic,Georgia,Walter Mondale,9,659170,55.73,1976,Alabama,https://en.wikipedia.org/wiki/1976_United_States_presidential_election_in_Alabama
Gerald Ford,Republican,Michigan,Bob Dole,0,504070,42.61,1976,Alabama,https://en.wikipedia.org/wiki/1976_United_States_presidential_election_in_Alabama
Ronald Reagan,Republican,California,George H W Bush,9,654192,48.75,1980,Alabama,https://en.wikipedia.org/wiki/1980_United_States_presidential_election_in_Alabama
Jimmy Carter,Democratic,Georgia,Walter Mondale,0,636730,47.45,1980,Alabama,https://en.wikipedia.org/wiki/1980_United_States_presidential_election_in_Alabama
Ronald Reagan,Republican,California,George H W Bush,9,872849,60.54,1984,Alabama,https://en.wikipedia.org/wiki/1984_United_States_presidential_election_in_Alabama
Walter Mondale,Democratic,Minnesota,Geraldine Ferraro,0,551899,38.28,1984,Alabama,https://en.wikipedia.org/wiki/1984_United_States_presidential_election_in_Alabama
George H W Bush,Republican,Texas,Dan Quayle,9,815576,59.17,1988,Alabama,https://en.wikipedia.org/wiki/1988_United_States_presidential_election_in_Alabama
Michael Dukakis,Democratic,Massachusetts,Lloyd Bentsen,0,549506,39.86,1988,Alabama,https://en.wikipedia.org/wiki/1988_United_States_presidential_election_in_Alabama
George H W Bush,Republican,Texas,Dan Quayle,9,804283,47.65,1992,Alabama,https://en.wikipedia.org/wiki/1992_United_States_presidential_election_in_Alabama
Bill Clinton,Democratic,Arkansas,Al Gore,0,690080,40.88,1992,Alabama,https://en.wikipedia.org/wiki/1992_United_States_presidential_election_in_Alabama
Ross Perot,Independent,Texas,James Stockdale,0,183109,10.85,1992,Alabama,https://en.wikipedia.org/wiki/1992_United_States_presidential_election_in_Alabama
Bob Dole,Republican,Kansas,Jack Kemp,9,769044,50.12,1996,Alabama,https://en.wikipedia.org/wiki/1996_United_States_presidential_election_in_Alabama
Bill Clinton,Democratic,Arkansas,Al Gore,0,662165,43.16,1996,Alabama,https://en.wikipedia.org/wiki/1996_United_States_presidential_election_in_Alabama
Ross Perot,Independent,Texas,Patrick Choate,0,92149,6.01,1996,Alabama,https://en.wikipedia.org/wiki/1996_United_States_presidential_election_in_Alabama
George W Bush,Republican,Texas,Dick Cheney,9,941173,56.48,2000,Alabama,https://en.wikipedia.org/wiki/2000_United_States_presidential_election_in_Alabama
Al Gore,Democratic,Tennessee,Joe Lieberman,0,692611,41.57,2000,Alabama,https://en.wikipedia.org/wiki/2000_United_States_presidential_election_in_Alabama
George W Bush,Republican,Texas,Dick Cheney,9,1176394,62.46,2004,Alabama,https://en.wikipedia.org/wiki/2004_United_States_presidential_election_in_Alabama
John Kerry,Democratic,Massachusetts,John Edwards,0,693933,36.84,2004,Alabama,https://en.wikipedia.org/wiki/2004_United_States_presidential_election_in_Alabama
John McCain,Republican,Arizona,Sarah Palin,9,1266546,60.32,2008,Alabama,https://en.wikipedia.org/wiki/2008_United_States_presidential_election_in_Alabama
Barack Obama,Democratic,Illinois,Joe Biden,0,813479,38.74,2008,Alabama,https://en.wikipedia.org/wiki/2008_United_States_presidential_election_in_Alabama
Mitt Romney,Republican,Massachusetts,Paul Ryan,9,1255925,60.55,2012,Alabama,https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Alabama
Barack Obama,Democratic,Illinois,Joe Biden,0,795696,38.36,2012,Alabama,https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Alabama
Donald Trump,Republican,New York,Mike Pence,9,1318255,62.08,2016,Alabama,https://en.wikipedia.org/wiki/2016_United_States_presidential_election_in_Alabama
Hillary Clinton,Democratic,New York,Tim Kaine,0,729547,34.36,2016,Alabama,https://en.wikipedia.org/wiki/2016_United_States_presidential_election_in_Alabama
Richard Nixon,Republican,California,Henry Cabot Lodge Jr,3,30953,50.94,1960,Alaska,https://en.wikipedia.org/wiki/1960_United_States_presidential_election_in_Alaska
John F Kennedy,Democratic,Massachusetts,Lyndon B Johnson,0,29809,49.06,1960,Alaska,https://en.wikipedia.org/wiki/1960_United_States_presidential_election_in_Alaska
Lyndon B Johnson,Democratic,Texas,Hubert Humphrey,3,44329,65.91,1964,Alaska,https://en.wikipedia.org/wiki/1964_United_States_presidential_election_in_Alaska
Barry Goldwater,Republican,Arizona,William E Miller,0,22930,34.09,1964,Alaska,https://en.wikipedia.org/wiki/1964_United_States_presidential_election_in_Alaska
Richard Nixon,Republican,New York,Spiro Agnew,3,37600,45.28,1968,Alaska,https://en.wikipedia.org/wiki/1968_United_States_presidential_election_in_Alaska
Hubert Humphrey,Democratic,Minnesota,Edmund Muskie,0,35411,42.65,1968,Alaska,https://en.wikipedia.org/wiki/1968_United_States_presidential_election_in_Alaska
George Wallace,Independent,Alabama,Curtis LeMay,0,10024,12.07,1968,Alaska,https://en.wikipedia.org/wiki/1968_United_States_presidential_election_in_Alaska
Richard Nixon,Republican,California,Spiro Agnew,3,55349,58.1,1972,Alaska,https://en.wikipedia.org/wiki/1972_United_States_presidential_election_in_Alaska
George McGovern,Democratic,South Dakota,Sargent Shriver,0,32967,34.61,1972,Alaska,https://en.wikipedia.org/wiki/1972_United_States_presidential_election_in_Alaska
John G Schmitz,American Independent,California,Thomas J Anderson,0,6903,7.25,1972,Alaska,https://en.wikipedia.org/wiki/1972_United_States_presidential_election_in_Alaska
Gerald Ford,Republican,Michigan,Bob Dole,3,71555,57.9,1976,Alaska,https://en.wikipedia.org/wiki/1976_United_States_presidential_election_in_Alaska
Jimmy Carter,Democratic,Georgia,Walter Mondale,0,44058,35.65,1976,Alaska,https://en.wikipedia.org/wiki/1976_United_States_presidential_election_in_Alaska
Roger MacBride,Libertarian,Vermont,David Bergland,0,6785,5.49,1976,Alaska,https://en.wikipedia.org/wiki/1976_United_States_presidential_election_in_Alaska
Ronald Reagan,Republican,California,George H W Bush,3,86112,54.35,1980,Alaska,https://en.wikipedia.org/wiki/1980_United_States_presidential_election_in_Alaska
Jimmy Carter,Democratic,Georgia,Walter Mondale,0,41842,26.41,1980,Alaska,https://en.wikipedia.org/wiki/1980_United_States_presidential_election_in_Alaska
Ronald Reagan,Republican,California,George H W Bush,3,138377,66.65,1984,Alaska,https://en.wikipedia.org/wiki/1984_United_States_presidential_election_in_Alaska
Walter Mondale,Democratic,Minnesota,Geraldine Ferraro,0,62007,29.87,1984,Alaska,https://en.wikipedia.org/wiki/1984_United_States_presidential_election_in_Alaska
George H W Bush,Republican,Texas,Dan Quayle,3,119251,59.59,1988,Alaska,https://en.wikipedia.org/wiki/1988_United_States_presidential_election_in_Alaska
Michael Dukakis,Democratic,Massachusetts,Lloyd Bentsen,0,72584,36.27,1988,Alaska,https://en.wikipedia.org/wiki/1988_United_States_presidential_election_in_Alaska
George H W Bush,Republican,Texas,Dan Quayle,3,102000,39.46,1992,Alaska,https://en.wikipedia.org/wiki/1992_United_States_presidential_election_in_Alaska
Bill Clinton,Democratic,Arkansas,Al Gore,0,78294,30.29,1992,Alaska,https://en.wikipedia.org/wiki/1992_United_States_presidential_election_in_Alaska
Ross Perot,Independent,Texas,James Stockdale,0,73481,28.43,1992,Alaska,https://en.wikipedia.org/wiki/1992_United_States_presidential_election_in_Alaska
Bob Dole,Republican,Kansas,Jack Kemp,3,122746,50.8,1996,Alaska,https://en.wikipedia.org/wiki/1996_United_States_presidential_election_in_Alaska
Bill Clinton,Democratic,Arkansas,Al Gore,0,80380,33.27,1996,Alaska,https://en.wikipedia.org/wiki/1996_United_States_presidential_election_in_Alaska
Ross Perot,Reform,Texas,Pat Choate,0,26333,10.9,1996,Alaska,https://en.wikipedia.org/wiki/1996_United_States_presidential_election_in_Alaska
George W Bush,Republican,Texas,Dick Cheney,3,167398,58.62,2000,Alaska,https://en.wikipedia.org/wiki/2000_United_States_presidential_election_in_Alaska
Al Gore,Democratic,Tennessee,Joe Lieberman,0,79004,27.67,2000,Alaska,https://en.wikipedia.org/wiki/2000_United_States_presidential_election_in_Alaska
Ralph Nader,Green,Connecticut,Winona LaDuke,0,28747,10.07,2000,Alaska,https://en.wikipedia.org/wiki/2000_United_States_presidential_election_in_Alaska
George W Bush,Republican,Texas,Dick Cheney,3,190889,61.07,2004,Alaska,https://en.wikipedia.org/wiki/2004_United_States_presidential_election_in_Alaska
John Kerry,Democratic,Massachusetts,John Edwards,0,111025,35.52,2004,Alaska,https://en.wikipedia.org/wiki/2004_United_States_presidential_election_in_Alaska
John McCain,Republican,Arizona,Sarah Palin,3,193841,59.42,2008,Alaska,https://en.wikipedia.org/wiki/2008_United_States_presidential_election_in_Alaska
Barack Obama,Democratic,Illinois,Joe Biden,0,123594,37.89,2008,Alaska,https://en.wikipedia.org/wiki/2008_United_States_presidential_election_in_Alaska
Mitt Romney,Republican,Massachusetts,Paul Ryan,3,164676,54.8,2012,Alaska,https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Alaska
Barack Obama,Democratic,Illinois,Joe Biden,0,122640,40.81,2012,Alaska,https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Alaska
Donald Trump,Republican,New York,Mike Pence,3,163387,51.28,2016,Alaska,https://en.wikipedia.org/wiki/2016_United_States_presidential_election_in_Alaska
Hillary Clinton,Democratic,New York,Tim Kaine,0,116454,36.55,2016,Alaska,https://en.wikipedia.org/wiki/2016_United_States_presidential_election_in_Alaska
Gary Johnson,Libertarian,New Mexico,Bill Weld,0,18725,5.88,2016,Alaska,https://en.wikipedia.org/wiki/2016_United_States_presidential_election_in_Alaska
Warren G Harding,Republican,Ohio,Calvin Coolidge,3,37016,55.61,1920,Arizona,https://en.wikipedia.org/wiki/1920_United_States_presidential_election_in_Arizona
James M Cox,Democratic,Ohio,Franklin D Roosevelt,0,29546,44.39,1920,Arizona,https://en.wikipedia.org/wiki/1920_United_States_presidential_election_in_Arizona
Calvin Coolidge,Republican,Massachusetts,Charles G Dawes,3,30516,41.26,1924,Arizona,https://en.wikipedia.org/wiki/1924_United_States_presidential_election_in_Arizona
John W Davis,Democratic,West Virginia,Charles W Bryan,0,26235,35.47,1924,Arizona,https://en.wikipedia.org/wiki/1924_United_States_presidential_election_in_Arizona
Robert M La Follette,Progressive,Wisconsin,Burton K Wheeler,0,17210,23.27,1924,Arizona,https://en.wikipedia.org/wiki/1924_United_States_presidential_election_in_Arizona
Herbert Hoover,Republican,California,Charles Curtis,3,52533,57.57,1928,Arizona,https://en.wikipedia.org/wiki/1928_United_States_presidential_election_in_Arizona
Al Smith,Democratic,New York,Joseph T Robinson,0,38537,42.23,1928,Arizona,https://en.wikipedia.org/wiki/1928_United_States_presidential_election_in_Arizona
Franklin D Roosevelt,Democratic,New York,John Nance Garner,3,79264,67.03,1932,Arizona,https://en.wikipedia.org/wiki/1932_United_States_presidential_election_in_Arizona
Herbert Hoover,Republican,California,Charles Curtis,0,36104,30.53,1932,Arizona,https://en.wikipedia.org/wiki/1932_United_States_presidential_election_in_Arizona
Franklin D Roosevelt,Democratic,New York,John Nance Garner,3,86722,69.85,1936,Arizona,https://en.wikipedia.org/wiki/1936_United_States_presidential_election_in_Arizona
Alf Landon,Republican,Kansas,Frank Knox,0,33433,26.93,1936,Arizona,https://en.wikipedia.org/wiki/1936_United_States_presidential_election_in_Arizona
Franklin D Roosevelt,Democratic,New York,Henry A Wallace,3,95267,63.49,1940,Arizona,https://en.wikipedia.org/wiki/1940_United_States_presidential_election_in_Arizona
Wendell Willkie,Republican,New York,Charles L McNary,0,54030,36.01,1940,Arizona,https://en.wikipedia.org/wiki/1940_United_States_presidential_election_in_Arizona
Franklin D Roosevelt,Democratic,New York,Harry S Truman,4,80926,58.8,1944,Arizona,https://en.wikipedia.org/wiki/1944_United_States_presidential_election_in_Arizona
Thomas E Dewey,Republican,New York,John W Bricker,0,56287,40.9,1944,Arizona,https://en.wikipedia.org/wiki/1944_United_States_presidential_election_in_Arizona
Harry S Truman,Democratic,Missouri,Alben W Barkley,4,95251,53.79,1948,Arizona,https://en.wikipedia.org/wiki/1948_United_States_presidential_election_in_Arizona
Thomas E Dewey,Republican,New York,Earl Warren,0,77597,43.82,1948,Arizona,https://en.wikipedia.org/wiki/1948_United_States_presidential_election_in_Arizona
Dwight D Eisenhower,Republican,New York,Richard Nixon,4,152042,58.4,1952,Arizona,https://en.wikipedia.org/wiki/1952_United_States_presidential_election_in_Arizona
Adlai Stevenson,Democratic,Illinois,John Sparkman,0,108528,41.7,1952,Arizona,https://en.wikipedia.org/wiki/1952_United_States_presidential_election_in_Arizona
Dwight D Eisenhower,Republican,Pennsylvania,Richard Nixon,4,176990,60.9,1956,Arizona,https://en.wikipedia.org/wiki/1956_United_States_presidential_election_in_Arizona
Adlai Stevenson,Democratic,Illinois,Estes Kefauver,0,112880,38.9,1956,Arizona,https://en.wikipedia.org/wiki/1956_United_States_presidential_election_in_Arizona
Richard Nixon,Republican,California,Henry Cabot Lodge Jr,4,221241,55.5,1960,Arizona,https://en.wikipedia.org/wiki/1960_United_States_presidential_election_in_Arizona
John F Kennedy,Democratic,Massachusetts,Lyndon B Johnson,0,176781,44.4,1960,Arizona,https://en.wikipedia.org/wiki/1960_United_States_presidential_election_in_Arizona
Barry Goldwater,Republican,Arizona,William E Miller,5,242535,50.45,1964,Arizona,https://en.wikipedia.org/wiki/1964_United_States_presidential_election_in_Arizona
Lyndon B Johnson,Democratic,Texas,Hubert Humphrey,0,237753,49.45,1964,Arizona,https://en.wikipedia.org/wiki/1964_United_States_presidential_election_in_Arizona
Richard Nixon,Republican,New York,Spiro Agnew,5,266721,54.8,1968,Arizona,https://en.wikipedia.org/wiki/1968_United_States_presidential_election_in_Arizona
Hubert Humphrey,Democratic,Minnesota,Edmund Muskie,0,170514,35,1968,Arizona,https://en.wikipedia.org/wiki/1968_United_States_presidential_election_in_Arizona
George Wallace,American Independent,Alabama,Curtis LeMay,0,46573,9.6,1968,Arizona,https://en.wikipedia.org/wiki/1968_United_States_presidential_election_in_Arizona
Richard Nixon,Republican,California,Spiro Agnew,6,402812,61.6,1972,Arizona,https://en.wikipedia.org/wiki/1972_United_States_presidential_election_in_Arizona
George McGovern,Democratic,South Dakota,Sargent Shriver,0,198540,30.4,1972,Arizona,https://en.wikipedia.org/wiki/1972_United_States_presidential_election_in_Arizona
Gerald Ford,Republican,Michigan,Bob Dole,6,418642,56.37,1976,Arizona,https://en.wikipedia.org/wiki/1976_United_States_presidential_election_in_Arizona
Jimmy Carter,Democratic,Georgia,Walter Mondale,0,295602,39.8,1976,Arizona,https://en.wikipedia.org/wiki/1976_United_States_presidential_election_in_Arizona
Ronald Reagan,Republican,California,George H W Bush,6,529688,60.61,1980,Arizona,https://en.wikipedia.org/wiki/1980_United_States_presidential_election_in_Arizona
Jimmy Carter,Democratic,Georgia,Walter Mondale,0,246843,28.24,1980,Arizona,https://en.wikipedia.org/wiki/1980_United_States_presidential_election_in_Arizona
John B Anderson,Independent,Illinois,Patrick Lucey,0,76952,8.81,1980,Arizona,https://en.wikipedia.org/wiki/1980_United_States_presidential_election_in_Arizona
Ronald Reagan,Republican,California,George H W Bush,7,681416,66.42,1984,Arizona,https://en.wikipedia.org/wiki/1984_United_States_presidential_election_in_Arizona
Walter Mondale,Democratic,Minnesota,Geraldine Ferraro,0,333854,32.54,1984,Arizona,https://en.wikipedia.org/wiki/1984_United_States_presidential_election_in_Arizona
George H W Bush,Republican,Texas,Dan Quayle,7,702541,59.95,1988,Arizona,https://en.wikipedia.org/wiki/1988_United_States_presidential_election_in_Arizona
Michael Dukakis,Democratic,Massachusetts,Lloyd Bentsen,0,454029,38.74,1988,Arizona,https://en.wikipedia.org/wiki/1988_United_States_presidential_election_in_Arizona
George H W Bush,Republican,Texas,Dan Quayle,8,572086,38.47,1992,Arizona,https://en.wikipedia.org/wiki/1992_United_States_presidential_election_in_Arizona
Bill Clinton,Democratic,Arkansas,Al Gore,0,543050,36.52,1992,Arizona,https://en.wikipedia.org/wiki/1992_United_States_presidential_election_in_Arizona
Ross Perot,Independent,Texas,James Stockdale,0,353741,23.79,1992,Arizona,https://en.wikipedia.org/wiki/1992_United_States_presidential_election_in_Arizona
Bill Clinton,Democratic,Arkansas,Al Gore,8,653288,46.52,1996,Arizona,https://en.wikipedia.org/wiki/1996_United_States_presidential_election_in_Arizona
Bob Dole,Republican,Kansas,Jack Kemp,0,622073,44.29,1996,Arizona,https://en.wikipedia.org/wiki/1996_United_States_presidential_election_in_Arizona
Ross Perot,Reform,Texas,Pat Choate,0,112072,7.98,1996,Arizona,https://en.wikipedia.org/wiki/1996_United_States_presidential_election_in_Arizona
George W Bush,Republican,Texas,Dick Cheney,8,781652,50.95,2000,Arizona,https://en.wikipedia.org/wiki/2000_United_States_presidential_election_in_Arizona
Al Gore,Democratic,Tennessee,Joe Lieberman,0,685341,44.67,2000,Arizona,https://en.wikipedia.org/wiki/2000_United_States_presidential_election_in_Arizona
George W Bush,Republican,Texas,Dick Cheney,10,1104294,54.77,2004,Arizona,https://en.wikipedia.org/wiki/2004_United_States_presidential_election_in_Arizona
John Kerry,Democratic,Massachusetts,John Edwards,0,893524,44.32,2004,Arizona,https://en.wikipedia.org/wiki/2004_United_States_presidential_election_in_Arizona
John McCain,Republican,Arizona,Sarah Palin,10,1230111,53.39,2008,Arizona,https://en.wikipedia.org/wiki/2008_United_States_presidential_election_in_Arizona
Barack Obama,Democratic,Illinois,Joe Biden,0,1034707,44.91,2008,Arizona,https://en.wikipedia.org/wiki/2008_United_States_presidential_election_in_Arizona
Mitt Romney,Republican,Massachusetts,Paul Ryan,11,1233654,53.48,2012,Arizona,https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Arizona
Barack Obama,Democratic,Illinois,Joe Biden,0,1025232,44.45,2012,Arizona,https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Arizona
Donald Trump,Republican,New York,Mike Pence,11,1252401,48.08,2016,Arizona,https://en.wikipedia.org/wiki/2016_United_States_presidential_election_in_Arizona
Hillary Clinton,Democratic,New York,Tim Kaine,0,1161167,44.58,2016,Arizona,https://en.wikipedia.org/wiki/2016_United_States_presidential_election_in_Arizona
James M Cox,Democratic,Ohio,Franklin D Roosevelt,9,106682,58.05,1920,Arkansas,https://en.wikipedia.org/wiki/1920_United_States_presidential_election_in_Arkansas
Warren G Harding,Republican,Ohio,Calvin Coolidge,0,71948,39.15,1920,Arkansas,https://en.wikipedia.org/wiki/1920_United_States_presidential_election_in_Arkansas
John W Davis,Democratic,West Virginia,Charles W Bryan,9,84790,61.2,1924,Arkansas,https://en.wikipedia.org/wiki/1924_United_States_presidential_election_in_Arkansas
Calvin Coolidge,Republican,Massachusetts,Charles G Dawes,0,40583,29.29,1924,Arkansas,https://en.wikipedia.org/wiki/1924_United_States_presidential_election_in_Arkansas
Robert M La Follette,Progressive,Wisconsin,Burton K Wheeler,0,13167,9.5,1924,Arkansas,https://en.wikipedia.org/wiki/1924_United_States_presidential_election_in_Arkansas
Al Smith,Democratic,New York,Joseph T Robinson,9,123140,61.06,1928,Arkansas,https://en.wikipedia.org/wiki/1928_United_States_presidential_election_in_Arkansas
Herbert Hoover,Republican,California,Charles Curtis,0,77789,38.57,1928,Arkansas,https://en.wikipedia.org/wiki/1928_United_States_presidential_election_in_Arkansas
Franklin D Roosevelt,Democratic,New York,John N Garner,9,189529,86.44,1932,Arkansas,https://en.wikipedia.org/wiki/1932_United_States_presidential_election_in_Arkansas
Herbert Hoover,Republican,California,Charles Curtis,0,27465,12.53,1932,Arkansas,https://en.wikipedia.org/wiki/1932_United_States_presidential_election_in_Arkansas
Franklin D Roosevelt,Democratic,New York,John Nance Garner,9,146765,81.8,1936,Arkansas,https://en.wikipedia.org/wiki/1936_United_States_presidential_election_in_Arkansas
Alf Landon,Republican,Kansas,Frank Knox,0,32039,17.86,1936,Arkansas,https://en.wikipedia.org/wiki/1936_United_States_presidential_election_in_Arkansas
Franklin D Roosevelt,Democratic,New York,Henry A Wallace,9,157213,78.44,1940,Arkansas,https://en.wikipedia.org/wiki/1940_United_States_presidential_election_in_Arkansas
Wendell Willkie,Republican,New York,Charles L McNary,0,42122,21.02,1940,Arkansas,https://en.wikipedia.org/wiki/1940_United_States_presidential_election_in_Arkansas
Franklin D Roosevelt,Democratic,New York,Harry S Truman,9,148965,69.9,1944,Arkansas,https://en.wikipedia.org/wiki/1944_United_States_presidential_election_in_Arkansas
Thomas E Dewey,Republican,New York,John W Bricker,0,63551,29.8,1944,Arkansas,https://en.wikipedia.org/wiki/1944_United_States_presidential_election_in_Arkansas
Harry S Truman,Democratic,Missouri,Alben W Barkley,9,149659,61.7,1948,Arkansas,https://en.wikipedia.org/wiki/1948_United_States_presidential_election_in_Arkansas
Thomas Dewey,Republican,New York,Earl Warren,0,50959,21,1948,Arkansas,https://en.wikipedia.org/wiki/1948_United_States_presidential_election_in_Arkansas
Strom Thurmond,Dixiecrat,South Carolina,Fielding L Wright,0,40068,16.5,1948,Arkansas,https://en.wikipedia.org/wiki/1948_United_States_presidential_election_in_Arkansas
Adlai Stevenson,Democratic,Illinois,John Sparkman,8,226300,55.9,1952,Arkansas,https://en.wikipedia.org/wiki/1952_United_States_presidential_election_in_Arkansas
Dwight D Eisenhower,Republican,New York,Richard Nixon,0,177155,43.8,1952,Arkansas,https://en.wikipedia.org/wiki/1952_United_States_presidential_election_in_Arkansas
Adlai Stevenson,Democratic,Illinois,Estes Kefauver,8,213777,52.5,1956,Arkansas,https://en.wikipedia.org/wiki/1956_United_States_presidential_election_in_Arkansas
Dwight D Eisenhower,Republican,Pennsylvania,Richard Nixon,0,186287,45.8,1956,Arkansas,https://en.wikipedia.org/wiki/1956_United_States_presidential_election_in_Arkansas
John F Kennedy,Democratic,Massachusetts,Lyndon B Johnson,8,215049,50.2,1960,Arkansas,https://en.wikipedia.org/wiki/1960_United_States_presidential_election_in_Arkansas
Richard Nixon,Republican,California,Henry Cabot Lodge Jr,0,184508,43.1,1960,Arkansas,https://en.wikipedia.org/wiki/1960_United_States_presidential_election_in_Arkansas
Orval Faubus,National States Rights Party,Arkansas,John G Crommelin,0,28952,6.8,1960,Arkansas,https://en.wikipedia.org/wiki/1960_United_States_presidential_election_in_Arkansas
Lyndon B Johnson,Democratic,Texas,Hubert Humphrey,6,314197,56.1,1964,Arkansas,https://en.wikipedia.org/wiki/1964_United_States_presidential_election_in_Arkansas
Barry Goldwater,Republican,Arizona,William E Miller,0,243264,43.4,1964,Arkansas,https://en.wikipedia.org/wiki/1964_United_States_presidential_election_in_Arkansas
George Wallace,American Independent,Alabama,Curtis LeMay,6,235627,38.7,1968,Arkansas,https://en.wikipedia.org/wiki/1968_United_States_presidential_election_in_Arkansas
Richard Nixon,Republican,New York,Spiro Agnew,0,189062,31,1968,Arkansas,https://en.wikipedia.org/wiki/1968_United_States_presidential_election_in_Arkansas
