"Nominee","Party","Home.state","Running.mate","Electoral.vote","Popular.vote","Percentage","year","state","url","margin","electoral_votes_maximum","electoral_winner","state_winner","votes_margin_total"
"George W Bush","Republican","Texas","Dick Cheney",0,5509826,44.36,2004,"California","https://en.wikipedia.org/wiki/2004_United_States_presidential_election_in_California",1235659,55,"George W Bush","John Kerry",115570
"Barack Obama","Democratic","Illinois","Joe Biden",55,8274473,61.01,2008,"California","https://en.wikipedia.org/wiki/2008_United_States_presidential_election_in_California",3262692,55,"Barack Obama","Barack Obama",990320
"John McCain","Republican","Arizona","Sarah Palin",0,5011781,36.95,2008,"California","https://en.wikipedia.org/wiki/2008_United_States_presidential_election_in_California",3262692,55,"Barack Obama","Barack Obama",990320
"Barack Obama","Democratic","Illinois","Joe Biden",55,7854285,60.24,2012,"California","https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_California",3014327,55,"Barack Obama","Barack Obama",429522
"Mitt Romney","Republican","Massachusetts","Paul Ryan",0,4839958,37.12,2012,"California","https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_California",3014327,55,"Barack Obama","Barack Obama",429522
"Hillary Clinton","Democratic","New York","Tim Kaine",55,8753788,61.73,2016,"California","https://en.wikipedia.org/wiki/2016_United_States_presidential_election_in_California",4269978,55,"Donald Trump","Hillary Clinton",77744
"Donald Trump","Republican","New York","Mike Pence",0,4483810,31.62,2016,"California","https://en.wikipedia.org/wiki/2016_United_States_presidential_election_in_California",4269978,55,"Donald Trump","Hillary Clinton",77744
"Warren G Harding","Republican","Ohio","Calvin Coolidge",6,173248,59.32,1920,"Colorado","https://en.wikipedia.org/wiki/1920_United_States_presidential_election_in_Colorado",68312,6,"Warren G Harding","Warren G Harding",1291746
"James M Cox","Democratic","Ohio","Franklin D Roosevelt",0,104936,35.93,1920,"Colorado","https://en.wikipedia.org/wiki/1920_United_States_presidential_election_in_Colorado",68312,6,"Warren G Harding","Warren G Harding",1291746
"Calvin Coolidge","Republican","Massachusetts","Charles G Dawes",6,195171,57.02,1924,"Colorado","https://en.wikipedia.org/wiki/1924_United_States_presidential_election_in_Colorado",119933,6,"Calvin Coolidge","Calvin Coolidge",775520
"John W Davis","Democratic","West Virginia","Charles W Bryan",0,75238,21.98,1924,"Colorado","https://en.wikipedia.org/wiki/1924_United_States_presidential_election_in_Colorado",119933,6,"Calvin Coolidge","Calvin Coolidge",775520
"Robert M La Follette","Farmer Labor","Wisconsin","Burton K Wheeler",0,69945,20.44,1924,"Colorado","https://en.wikipedia.org/wiki/1924_United_States_presidential_election_in_Colorado",119933,6,"Calvin Coolidge","Calvin Coolidge",775520
"Herbert Hoover","Republican","California","Charles Curtis",6,253872,64.72,1928,"Colorado","https://en.wikipedia.org/wiki/1928_United_States_presidential_election_in_Colorado",120741,6,"Herbert Hoover","Herbert Hoover",866640
"Al Smith","Democratic","New York","Joseph T Robinson",0,133131,33.94,1928,"Colorado","https://en.wikipedia.org/wiki/1928_United_States_presidential_election_in_Colorado",120741,6,"Herbert Hoover","Herbert Hoover",866640
"Franklin D Roosevelt","Democratic","New York","John Nance Garner",6,250877,54.8,1932,"Colorado","https://en.wikipedia.org/wiki/1932_United_States_presidential_election_in_Colorado",61260,6,"Franklin D Roosevelt","Franklin D Roosevelt",1801018
"Herbert Hoover","Republican","California","Charles Curtis",0,189617,41.4,1932,"Colorado","https://en.wikipedia.org/wiki/1932_United_States_presidential_election_in_Colorado",61260,6,"Franklin D Roosevelt","Franklin D Roosevelt",1801018
"Franklin D Roosevelt","Democratic","New York","John Nance Garner",6,295021,60.37,1936,"Colorado","https://en.wikipedia.org/wiki/1936_United_States_presidential_election_in_Colorado",113754,6,"Franklin D Roosevelt","Franklin D Roosevelt",3834458
"Alf Landon","Republican","Kansas","Frank Knox",0,181267,37.09,1936,"Colorado","https://en.wikipedia.org/wiki/1936_United_States_presidential_election_in_Colorado",113754,6,"Franklin D Roosevelt","Franklin D Roosevelt",3834458
"Wendell Willkie","Republican","Indiana","Charles L McNary",6,279576,50.9,1940,"Colorado","https://en.wikipedia.org/wiki/1940_United_States_presidential_election_in_Colorado",14022,6,"Franklin D Roosevelt","Wendell Willkie",891866
"Franklin D Roosevelt","Democratic","New York","Henry A Wallace",0,265554,48.4,1940,"Colorado","https://en.wikipedia.org/wiki/1940_United_States_presidential_election_in_Colorado",14022,6,"Franklin D Roosevelt","Wendell Willkie",891866
"Thomas E Dewey","Republican","New York","John W Bricker",6,268731,53.2,1944,"Colorado","https://en.wikipedia.org/wiki/1944_United_States_presidential_election_in_Colorado",34400,6,"Franklin D Roosevelt","Thomas E Dewey",581936
"Franklin D Roosevelt","Democratic","New York","Harry S Truman",0,234331,46.4,1944,"Colorado","https://en.wikipedia.org/wiki/1944_United_States_presidential_election_in_Colorado",34400,6,"Franklin D Roosevelt","Thomas E Dewey",581936
"Harry S Truman","Democratic","Missouri","Alben W Barkley",6,267288,51.9,1948,"Colorado","https://en.wikipedia.org/wiki/1948_United_States_presidential_election_in_Colorado",27574,6,"Harry S Truman","Harry S Truman",111495
"Thomas Dewey","Republican","New York","Earl Warren",0,239714,46.5,1948,"Colorado","https://en.wikipedia.org/wiki/1948_United_States_presidential_election_in_Colorado",27574,6,"Harry S Truman","Harry S Truman",111495
"Dwight D Eisenhower","Republican","New York","Richard Nixon",6,379782,60.3,1952,"Colorado","https://en.wikipedia.org/wiki/1952_United_States_presidential_election_in_Colorado",134278,6,"Dwight D Eisenhower","Dwight D Eisenhower",1488890
"Adlai Stevenson","Democratic","Illinois","John Sparkman",0,245504,38.9,1952,"Colorado","https://en.wikipedia.org/wiki/1952_United_States_presidential_election_in_Colorado",134278,6,"Dwight D Eisenhower","Dwight D Eisenhower",1488890
"Dwight D Eisenhower","Republican","Pennsylvania","Richard Nixon",6,394479,59.5,1956,"Colorado","https://en.wikipedia.org/wiki/1956_United_States_presidential_election_in_Colorado",130482,6,"Dwight D Eisenhower","Dwight D Eisenhower",2349385
"Adlai Stevenson","Democratic","Illinois","Estes Kefauver",0,263997,39.8,1956,"Colorado","https://en.wikipedia.org/wiki/1956_United_States_presidential_election_in_Colorado",130482,6,"Dwight D Eisenhower","Dwight D Eisenhower",2349385
"Richard Nixon","Republican","California","Henry Cabot Lodge Jr",6,402242,54.6,1960,"Colorado","https://en.wikipedia.org/wiki/1960_United_States_presidential_election_in_Colorado",71613,6,"John F Kennedy","Richard Nixon",22724.0000000001
"John F Kennedy","Democratic","Massachusetts","Lyndon B Johnson",0,330629,44.9,1960,"Colorado","https://en.wikipedia.org/wiki/1960_United_States_presidential_election_in_Colorado",71613,6,"John F Kennedy","Richard Nixon",22724.0000000001
"Lyndon B Johnson","Democratic","Texas","Hubert Humphrey",6,476024,61.27,1964,"Colorado","https://en.wikipedia.org/wiki/1964_United_States_presidential_election_in_Colorado",179257,6,"Lyndon B Johnson","Lyndon B Johnson",4118457
"Barry Goldwater","Republican","Arizona","William E Miller",0,296767,38.19,1964,"Colorado","https://en.wikipedia.org/wiki/1964_United_States_presidential_election_in_Colorado",179257,6,"Lyndon B Johnson","Lyndon B Johnson",4118457
"Richard Nixon","Republican","New York","Spiro Agnew",6,409345,50.5,1968,"Colorado","https://en.wikipedia.org/wiki/1968_United_States_presidential_election_in_Colorado",74171,6,"Richard Nixon","Richard Nixon",266590
"Hubert Humphrey","Democratic","Minnesota","Edmund Muskie",0,335174,41.3,1968,"Colorado","https://en.wikipedia.org/wiki/1968_United_States_presidential_election_in_Colorado",74171,6,"Richard Nixon","Richard Nixon",266590
"George Wallace","American Independent","Alabama","Marvin Griffin",0,60813,7.5,1968,"Colorado","https://en.wikipedia.org/wiki/1968_United_States_presidential_election_in_Colorado",74171,6,"Richard Nixon","Richard Nixon",266590
"Richard Nixon","Republican","California","Spiro Agnew",7,597189,62.6,1972,"Colorado","https://en.wikipedia.org/wiki/1972_United_States_presidential_election_in_Colorado",267209,7,"Richard Nixon","Richard Nixon",6349532
"George McGovern","Democratic","South Dakota","Sargent Shriver",0,329980,34.6,1972,"Colorado","https://en.wikipedia.org/wiki/1972_United_States_presidential_election_in_Colorado",267209,7,"Richard Nixon","Richard Nixon",6349532
"Gerald Ford","Republican","Michigan","Bob Dole",7,584367,54.05,1976,"Colorado","https://en.wikipedia.org/wiki/1976_United_States_presidential_election_in_Colorado",124014,7,"Jimmy Carter","Gerald Ford",45716
"Jimmy Carter","Democratic","Georgia","Walter Mondale",0,460353,42.58,1976,"Colorado","https://en.wikipedia.org/wiki/1976_United_States_presidential_election_in_Colorado",124014,7,"Jimmy Carter","Gerald Ford",45716
"Ronald Reagan","Republican","California","George H W Bush",7,652264,55.07,1980,"Colorado","https://en.wikipedia.org/wiki/1980_United_States_presidential_election_in_Colorado",284291,7,"Ronald Reagan","Ronald Reagan",1462353
"Jimmy Carter","Democratic","Georgia","Walter Mondale",0,367973,31.07,1980,"Colorado","https://en.wikipedia.org/wiki/1980_United_States_presidential_election_in_Colorado",284291,7,"Ronald Reagan","Ronald Reagan",1462353
"John B Anderson","National Unity","Illinois","Patrick Lucey",0,130633,11.03,1980,"Colorado","https://en.wikipedia.org/wiki/1980_United_States_presidential_election_in_Colorado",284291,7,"Ronald Reagan","Ronald Reagan",1462353
"Ronald Reagan","Republican","California","George H W Bush",8,821818,63.44,1984,"Colorado","https://en.wikipedia.org/wiki/1984_United_States_presidential_election_in_Colorado",366844,8,"Ronald Reagan","Ronald Reagan",5351583
"Walter Mondale","Democratic","Minnesota","Geraldine Ferraro",0,454974,35.12,1984,"Colorado","https://en.wikipedia.org/wiki/1984_United_States_presidential_election_in_Colorado",366844,8,"Ronald Reagan","Ronald Reagan",5351583
"George H W Bush","Republican","Texas","Dan Quayle",8,728177,53.06,1988,"Colorado","https://en.wikipedia.org/wiki/1988_United_States_presidential_election_in_Colorado",106724,8,"George H W Bush","George H W Bush",1098368
"Michael Dukakis","Democratic","Massachusetts","Lloyd Bentsen",0,621453,45.28,1988,"Colorado","https://en.wikipedia.org/wiki/1988_United_States_presidential_election_in_Colorado",106724,8,"George H W Bush","George H W Bush",1098368
"Bill Clinton","Democratic","Arkansas","Al Gore",8,629681,40.13,1992,"Colorado","https://en.wikipedia.org/wiki/1992_United_States_presidential_election_in_Colorado",66831,8,"Bill Clinton","Bill Clinton",569655
"George H W Bush","Republican","Texas","Dan Quayle",0,562850,35.87,1992,"Colorado","https://en.wikipedia.org/wiki/1992_United_States_presidential_election_in_Colorado",66831,8,"Bill Clinton","Bill Clinton",569655
"Ross Perot","Independent","Texas","James Stockdale",0,366010,23.32,1992,"Colorado","https://en.wikipedia.org/wiki/1992_United_States_presidential_election_in_Colorado",66831,8,"Bill Clinton","Bill Clinton",569655
"Bob Dole","Republican","Kansas","Jack Kemp",8,691848,45.8,1996,"Colorado","https://en.wikipedia.org/wiki/1996_United_States_presidential_election_in_Colorado",20696,8,"Bill Clinton","Bob Dole",1151013
"Bill Clinton","Democratic","Arkansas","Al Gore",0,671152,44.43,1996,"Colorado","https://en.wikipedia.org/wiki/1996_United_States_presidential_election_in_Colorado",20696,8,"Bill Clinton","Bob Dole",1151013
"Ross Perot","Reform","Texas","Pat Choate",0,99629,6.59,1996,"Colorado","https://en.wikipedia.org/wiki/1996_United_States_presidential_election_in_Colorado",20696,8,"Bill Clinton","Bob Dole",1151013
"George W Bush","Republican","Texas","Dick Cheney",8,883745,50.75,2000,"Colorado","https://en.wikipedia.org/wiki/2000_United_States_presidential_election_in_Colorado",145518,8,"George W Bush","George W Bush",537
"Al Gore","Democratic","Tennessee","Joe Lieberman",0,738227,42.39,2000,"Colorado","https://en.wikipedia.org/wiki/2000_United_States_presidential_election_in_Colorado",145518,8,"George W Bush","George W Bush",537
"Ralph Nader","Green","Connecticut","Winona LaDuke",0,91434,5.25,2000,"Colorado","https://en.wikipedia.org/wiki/2000_United_States_presidential_election_in_Colorado",145518,8,"George W Bush","George W Bush",537
"George W Bush","Republican","Texas","Dick Cheney",9,1101255,51.69,2004,"Colorado","https://en.wikipedia.org/wiki/2004_United_States_presidential_election_in_Colorado",99523,9,"George W Bush","George W Bush",115570
"John Kerry","Democratic","Massachusetts","John Edwards",0,1001732,47.02,2004,"Colorado","https://en.wikipedia.org/wiki/2004_United_States_presidential_election_in_Colorado",99523,9,"George W Bush","George W Bush",115570
"Barack Obama","Democratic","Illinois","Joe Biden",9,1288633,53.66,2008,"Colorado","https://en.wikipedia.org/wiki/2008_United_States_presidential_election_in_Colorado",215004,9,"Barack Obama","Barack Obama",990320
"John McCain","Republican","Arizona","Sarah Palin",0,1073629,44.71,2008,"Colorado","https://en.wikipedia.org/wiki/2008_United_States_presidential_election_in_Colorado",215004,9,"Barack Obama","Barack Obama",990320
"Barack Obama","Democratic","Illinois","Joe Biden",9,1323101,51.49,2012,"Colorado","https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Colorado",137858,9,"Barack Obama","Barack Obama",429522
"Mitt Romney","Republican","Massachusetts","Paul Ryan",0,1185243,46.13,2012,"Colorado","https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Colorado",137858,9,"Barack Obama","Barack Obama",429522
"Hillary Clinton","Democratic","New York","Tim Kaine",9,1338870,48.16,2016,"Colorado","https://en.wikipedia.org/wiki/2016_United_States_presidential_election_in_Colorado",136386,9,"Donald Trump","Hillary Clinton",77744
"Donald Trump","Republican","New York","Mike Pence",0,1202484,43.25,2016,"Colorado","https://en.wikipedia.org/wiki/2016_United_States_presidential_election_in_Colorado",136386,9,"Donald Trump","Hillary Clinton",77744
"Gary Johnson","Libertarian","New Mexico","Bill Weld",0,144121,5.18,2016,"Colorado","https://en.wikipedia.org/wiki/2016_United_States_presidential_election_in_Colorado",136386,9,"Donald Trump","Hillary Clinton",77744
"Warren G Harding","Republican","Ohio","Calvin Coolidge",7,229238,62.72,1920,"Connecticut","https://en.wikipedia.org/wiki/1920_United_States_presidential_election_in_Connecticut",108517,7,"Warren G Harding","Warren G Harding",1291746
"James M Cox","Democratic","Ohio","Franklin D Roosevelt",0,120721,33.03,1920,"Connecticut","https://en.wikipedia.org/wiki/1920_United_States_presidential_election_in_Connecticut",108517,7,"Warren G Harding","Warren G Harding",1291746
"Calvin Coolidge","Republican","Massachusetts","Charles G Dawes",7,246322,61.54,1924,"Connecticut","https://en.wikipedia.org/wiki/1924_United_States_presidential_election_in_Connecticut",136138,7,"Calvin Coolidge","Calvin Coolidge",775520
"John W Davis","Democratic","West Virginia","Charles W Bryan",0,110184,27.53,1924,"Connecticut","https://en.wikipedia.org/wiki/1924_United_States_presidential_election_in_Connecticut",136138,7,"Calvin Coolidge","Calvin Coolidge",775520
"Robert M La Follette","Progressive","Wisconsin","Burton K Wheeler",0,42416,10.6,1924,"Connecticut","https://en.wikipedia.org/wiki/1924_United_States_presidential_election_in_Connecticut",136138,7,"Calvin Coolidge","Calvin Coolidge",775520
"Herbert Hoover","Republican","California","Charles Curtis",7,296641,53.63,1928,"Connecticut","https://en.wikipedia.org/wiki/1928_United_States_presidential_election_in_Connecticut",44556,7,"Herbert Hoover","Herbert Hoover",866640
"Al Smith","Democratic","New York","Joseph Taylor Robinson",0,252085,45.57,1928,"Connecticut","https://en.wikipedia.org/wiki/1928_United_States_presidential_election_in_Connecticut",44556,7,"Herbert Hoover","Herbert Hoover",866640
"Herbert Hoover","Republican","California","Charles Curtis",8,288420,48.54,1932,"Connecticut","https://en.wikipedia.org/wiki/1932_United_States_presidential_election_in_Connecticut",6788,8,"Franklin D Roosevelt","Herbert Hoover",1801018
"Franklin D Roosevelt","Democratic","New York","John Nance Garner",0,281632,47.4,1932,"Connecticut","https://en.wikipedia.org/wiki/1932_United_States_presidential_election_in_Connecticut",6788,8,"Franklin D Roosevelt","Herbert Hoover",1801018
"Franklin D Roosevelt","Democratic","New York","John Nance Garner",8,382129,55.32,1936,"Connecticut","https://en.wikipedia.org/wiki/1936_United_States_presidential_election_in_Connecticut",103444,8,"Franklin D Roosevelt","Franklin D Roosevelt",3834458
"Alf Landon","Republican","Kansas","Frank Knox",0,278685,40.35,1936,"Connecticut","https://en.wikipedia.org/wiki/1936_United_States_presidential_election_in_Connecticut",103444,8,"Franklin D Roosevelt","Franklin D Roosevelt",3834458
"Franklin D Roosevelt","Democratic","New York","Henry A Wallace",8,417621,53.44,1940,"Connecticut","https://en.wikipedia.org/wiki/1940_United_States_presidential_election_in_Connecticut",55802,8,"Franklin D Roosevelt","Franklin D Roosevelt",891866
"Wendell Willkie","Republican","Indiana","Charles L McNary",0,361819,46.3,1940,"Connecticut","https://en.wikipedia.org/wiki/1940_United_States_presidential_election_in_Connecticut",55802,8,"Franklin D Roosevelt","Franklin D Roosevelt",891866
"Franklin D Roosevelt","Democratic","New York","Harry S Truman",8,435146,52.3,1944,"Connecticut","https://en.wikipedia.org/wiki/1944_United_States_presidential_election_in_Connecticut",44619,8,"Franklin D Roosevelt","Franklin D Roosevelt",581936
"Thomas E Dewey","Republican","New York","John W Bricker",0,390527,46.94,1944,"Connecticut","https://en.wikipedia.org/wiki/1944_United_States_presidential_election_in_Connecticut",44619,8,"Franklin D Roosevelt","Franklin D Roosevelt",581936
"Thomas E Dewey","Republican","New York","Earl Warren",8,437754,49.55,1948,"Connecticut","https://en.wikipedia.org/wiki/1948_United_States_presidential_election_in_Connecticut",14457,8,"Harry S Truman","Thomas E Dewey",111495
"Harry S Truman","Democratic","Missouri","Alben William Barkley",0,423297,47.91,1948,"Connecticut","https://en.wikipedia.org/wiki/1948_United_States_presidential_election_in_Connecticut",14457,8,"Harry S Truman","Thomas E Dewey",111495
"Dwight D Eisenhower","Republican","New York","Richard Nixon",8,611012,55.7,1952,"Connecticut","https://en.wikipedia.org/wiki/1952_United_States_presidential_election_in_Connecticut",129363,8,"Dwight D Eisenhower","Dwight D Eisenhower",1488890
"Adlai Stevenson","Democratic","Illinois","John Sparkman",0,481649,43.91,1952,"Connecticut","https://en.wikipedia.org/wiki/1952_United_States_presidential_election_in_Connecticut",129363,8,"Dwight D Eisenhower","Dwight D Eisenhower",1488890
"Dwight D Eisenhower","Republican","Pennsylvania","Richard Nixon",8,711837,63.72,1956,"Connecticut","https://en.wikipedia.org/wiki/1956_United_States_presidential_election_in_Connecticut",306758,8,"Dwight D Eisenhower","Dwight D Eisenhower",2349385
"Adlai Stevenson","Democratic","Illinois","Estes Kefauver",0,405079,36.26,1956,"Connecticut","https://en.wikipedia.org/wiki/1956_United_States_presidential_election_in_Connecticut",306758,8,"Dwight D Eisenhower","Dwight D Eisenhower",2349385
"John F Kennedy","Democratic","Massachusetts","Lyndon B Johnson",8,657055,53.73,1960,"Connecticut","https://en.wikipedia.org/wiki/1960_United_States_presidential_election_in_Connecticut",91242,8,"John F Kennedy","John F Kennedy",22724.0000000001
"Richard Nixon","Republican","California","Henry Cabot Lodge Jr",0,565813,46.26,1960,"Connecticut","https://en.wikipedia.org/wiki/1960_United_States_presidential_election_in_Connecticut",91242,8,"John F Kennedy","John F Kennedy",22724.0000000001
"Lyndon B Johnson","Democratic","Texas","Hubert Humphrey",8,826269,67.81,1964,"Connecticut","https://en.wikipedia.org/wiki/1964_United_States_presidential_election_in_Connecticut",435273,8,"Lyndon B Johnson","Lyndon B Johnson",4118457
"Barry Goldwater","Republican","Arizona","William E Miller",0,390996,32.09,1964,"Connecticut","https://en.wikipedia.org/wiki/1964_United_States_presidential_election_in_Connecticut",435273,8,"Lyndon B Johnson","Lyndon B Johnson",4118457
"Hubert Humphrey","Democratic","Minnesota","Edmund Muskie",8,621561,49.48,1968,"Connecticut","https://en.wikipedia.org/wiki/1968_United_States_presidential_election_in_Connecticut",64840,8,"Richard Nixon","Hubert Humphrey",266590
"Richard Nixon","Republican","New York","Spiro Agnew",0,556721,44.32,1968,"Connecticut","https://en.wikipedia.org/wiki/1968_United_States_presidential_election_in_Connecticut",64840,8,"Richard Nixon","Hubert Humphrey",266590
"George Wallace","American Independent","Alabama","Curtis LeMay",0,76650,6.1,1968,"Connecticut","https://en.wikipedia.org/wiki/1968_United_States_presidential_election_in_Connecticut",64840,8,"Richard Nixon","Hubert Humphrey",266590
"Richard Nixon","Republican","California","Spiro Agnew",8,810763,58.57,1972,"Connecticut","https://en.wikipedia.org/wiki/1972_United_States_presidential_election_in_Connecticut",255265,8,"Richard Nixon","Richard Nixon",6349532
"George McGovern","Democratic","South Dakota","Sargent Shriver",0,555498,40.13,1972,"Connecticut","https://en.wikipedia.org/wiki/1972_United_States_presidential_election_in_Connecticut",255265,8,"Richard Nixon","Richard Nixon",6349532
"Gerald Ford","Republican","Michigan","Bob Dole",8,719261,52.06,1976,"Connecticut","https://en.wikipedia.org/wiki/1976_United_States_presidential_election_in_Connecticut",71366,8,"Jimmy Carter","Gerald Ford",45716
"Jimmy Carter","Democratic","Georgia","Walter Mondale",0,647895,46.9,1976,"Connecticut","https://en.wikipedia.org/wiki/1976_United_States_presidential_election_in_Connecticut",71366,8,"Jimmy Carter","Gerald Ford",45716
"Ronald Reagan","Republican","California","George H W Bush",8,677210,48.16,1980,"Connecticut","https://en.wikipedia.org/wiki/1980_United_States_presidential_election_in_Connecticut",135478,8,"Ronald Reagan","Ronald Reagan",1462353
"Jimmy Carter","Democratic","Georgia","Walter Mondale",0,541732,38.52,1980,"Connecticut","https://en.wikipedia.org/wiki/1980_United_States_presidential_election_in_Connecticut",135478,8,"Ronald Reagan","Ronald Reagan",1462353
"John B Anderson","Independent","Illinois","Patrick Lucey",0,171807,12.22,1980,"Connecticut","https://en.wikipedia.org/wiki/1980_United_States_presidential_election_in_Connecticut",135478,8,"Ronald Reagan","Ronald Reagan",1462353
"Ronald Reagan","Republican","California","George H W Bush",8,890877,60.73,1984,"Connecticut","https://en.wikipedia.org/wiki/1984_United_States_presidential_election_in_Connecticut",321280,8,"Ronald Reagan","Ronald Reagan",5351583
"Walter Mondale","Democratic","Minnesota","Geraldine Ferraro",0,569597,38.83,1984,"Connecticut","https://en.wikipedia.org/wiki/1984_United_States_presidential_election_in_Connecticut",321280,8,"Ronald Reagan","Ronald Reagan",5351583
"George H W Bush","Republican","Texas","Dan Quayle",8,750241,51.98,1988,"Connecticut","https://en.wikipedia.org/wiki/1988_United_States_presidential_election_in_Connecticut",73657,8,"George H W Bush","George H W Bush",1098368
"Michael Dukakis","Democratic","Massachusetts","Lloyd Bentsen",0,676584,46.87,1988,"Connecticut","https://en.wikipedia.org/wiki/1988_United_States_presidential_election_in_Connecticut",73657,8,"George H W Bush","George H W Bush",1098368
"Bill Clinton","Democratic","Arkansas","Al Gore",8,682318,42.21,1992,"Connecticut","https://en.wikipedia.org/wiki/1992_United_States_presidential_election_in_Connecticut",104005,8,"Bill Clinton","Bill Clinton",569655
"George H W Bush","Republican","Texas","Dan Quayle",0,578313,35.78,1992,"Connecticut","https://en.wikipedia.org/wiki/1992_United_States_presidential_election_in_Connecticut",104005,8,"Bill Clinton","Bill Clinton",569655
"Ross Perot","Independent","Texas","James Stockdale",0,348771,21.58,1992,"Connecticut","https://en.wikipedia.org/wiki/1992_United_States_presidential_election_in_Connecticut",104005,8,"Bill Clinton","Bill Clinton",569655
"Bill Clinton","Democratic","Arkansas","Al Gore",8,735740,52.83,1996,"Connecticut","https://en.wikipedia.org/wiki/1996_United_States_presidential_election_in_Connecticut",252631,8,"Bill Clinton","Bill Clinton",1151013
"Bob Dole","Republican","Kansas","Jack Kemp",0,483109,34.69,1996,"Connecticut","https://en.wikipedia.org/wiki/1996_United_States_presidential_election_in_Connecticut",252631,8,"Bill Clinton","Bill Clinton",1151013
"Ross Perot","Reform","Texas","Patrick Choate",0,139523,10.02,1996,"Connecticut","https://en.wikipedia.org/wiki/1996_United_States_presidential_election_in_Connecticut",252631,8,"Bill Clinton","Bill Clinton",1151013
"Al Gore","Democratic","Tennessee","Joe Lieberman",8,816015,55.91,2000,"Connecticut","https://en.wikipedia.org/wiki/2000_United_States_presidential_election_in_Connecticut",254921,8,"George W Bush","Al Gore",537
"George W Bush","Republican","Texas","Dick Cheney",0,561094,38.44,2000,"Connecticut","https://en.wikipedia.org/wiki/2000_United_States_presidential_election_in_Connecticut",254921,8,"George W Bush","Al Gore",537
"John Kerry","Democratic","Massachusetts","John Edwards",7,857488,54.31,2004,"Connecticut","https://en.wikipedia.org/wiki/2004_United_States_presidential_election_in_Connecticut",163662,7,"George W Bush","John Kerry",115570
"George W Bush","Republican","Texas","Dick Cheney",0,693826,43.95,2004,"Connecticut","https://en.wikipedia.org/wiki/2004_United_States_presidential_election_in_Connecticut",163662,7,"George W Bush","John Kerry",115570
"Barack Obama","Democratic","Illinois","Joe Biden",7,997773,60.59,2008,"Connecticut","https://en.wikipedia.org/wiki/2008_United_States_presidential_election_in_Connecticut",368345,7,"Barack Obama","Barack Obama",990320
"John McCain","Republican","Arizona","Sarah Palin",0,629428,38.22,2008,"Connecticut","https://en.wikipedia.org/wiki/2008_United_States_presidential_election_in_Connecticut",368345,7,"Barack Obama","Barack Obama",990320
"Barack Obama","Democratic","Illinois","Joe Biden",7,905083,58.06,2012,"Connecticut","https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Connecticut",270191,7,"Barack Obama","Barack Obama",429522
"Mitt Romney","Republican","Massachusetts","Paul Ryan",0,634892,40.73,2012,"Connecticut","https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Connecticut",270191,7,"Barack Obama","Barack Obama",429522
"Hillary Clinton","Democratic","New York","Tim Kaine",7,897572,54.57,2016,"Connecticut","https://en.wikipedia.org/wiki/2016_United_States_presidential_election_in_Connecticut",224357,7,"Donald Trump","Hillary Clinton",77744
"Donald Trump","Republican","New York","Mike Pence",0,673215,40.93,2016,"Connecticut","https://en.wikipedia.org/wiki/2016_United_States_presidential_election_in_Connecticut",224357,7,"Donald Trump","Hillary Clinton",77744
"Warren G Harding","Republican","Ohio","Calvin Coolidge",3,52858,55.71,1920,"Delaware","https://en.wikipedia.org/wiki/1920_United_States_presidential_election_in_Delaware",12947,3,"Warren G Harding","Warren G Harding",1291746
"James M Cox","Democratic","Ohio","Franklin D Roosevelt",0,39911,42.07,1920,"Delaware","https://en.wikipedia.org/wiki/1920_United_States_presidential_election_in_Delaware",12947,3,"Warren G Harding","Warren G Harding",1291746
"Calvin Coolidge","Republican","Massachusetts","Charles G Dawes",3,52441,57.7,1924,"Delaware","https://en.wikipedia.org/wiki/1924_United_States_presidential_election_in_Delaware",18996,3,"Calvin Coolidge","Calvin Coolidge",775520
"John W Davis","Democratic","West Virginia","Charles W Bryan",0,33445,36.8,1924,"Delaware","https://en.wikipedia.org/wiki/1924_United_States_presidential_election_in_Delaware",18996,3,"Calvin Coolidge","Calvin Coolidge",775520
"Robert M La Follette","Progressive","Wisconsin","Burton K Wheeler",0,4979,5.48,1924,"Delaware","https://en.wikipedia.org/wiki/1924_United_States_presidential_election_in_Delaware",18996,3,"Calvin Coolidge","Calvin Coolidge",775520
"Herbert Hoover","Republican","California","Charles Curtis",3,68860,65.03,1928,"Delaware","https://en.wikipedia.org/wiki/1928_United_States_presidential_election_in_Delaware",32217,3,"Herbert Hoover","Herbert Hoover",866640
"Al Smith","Democratic","New York","Joseph T Robinson",0,36643,34.6,1928,"Delaware","https://en.wikipedia.org/wiki/1928_United_States_presidential_election_in_Delaware",32217,3,"Herbert Hoover","Herbert Hoover",866640
"Herbert Hoover","Republican","California","Charles Curtis",3,57073,50.55,1932,"Delaware","https://en.wikipedia.org/wiki/1932_United_States_presidential_election_in_Delaware",2754,3,"Franklin D Roosevelt","Herbert Hoover",1801018
"Franklin D Roosevelt","Democratic","New York","John Nance Garner",0,54319,48.11,1932,"Delaware","https://en.wikipedia.org/wiki/1932_United_States_presidential_election_in_Delaware",2754,3,"Franklin D Roosevelt","Herbert Hoover",1801018
