"party","year","pivotal_vote"
"con",2019,0
"lab",2019,607028.999999987
"ld",2019,5196691.99999998
"con",2017,775.999999999966
"lab",2017,100565.000000005
"ld",2017,6088466.00000003
"con",2015,0
"lab",2015,413616.000000005
"ld",2015,4998098.00000001
"con",2010,15951.9999999986
"lab",2010,136210.000000001
"ld",2010,2106379.99999998
"con",2005,302489.999999997
"lab",2005,0
"ld",2005,2134952.00000001
