"Nominee","Party","Home state","Running mate","Electoral vote","Popular vote","Percentage","year","state","url"
"Bill Clinton","Democratic","Arkansas","Al Gore","0","848 420","36 79",1992,"Indiana","https://en.wikipedia.org/wiki/1992_United_States_presidential_election_in_Indiana"
"Ross Perot","Independent","Texas","James Stockdale","0","455 934","19 77",1992,"Indiana","https://en.wikipedia.org/wiki/1992_United_States_presidential_election_in_Indiana"
"Bob Dole","Republican","Kansas","Jack Kemp","12","1 006 693","47 13",1996,"Indiana","https://en.wikipedia.org/wiki/1996_United_States_presidential_election_in_Indiana"
"Bill Clinton","Democratic","Arkansas","Al Gore","0","887 424","41 55",1996,"Indiana","https://en.wikipedia.org/wiki/1996_United_States_presidential_election_in_Indiana"
"Ross Perot","Reform","Texas","James Campbell","0","224 299","10 50",1996,"Indiana","https://en.wikipedia.org/wiki/1996_United_States_presidential_election_in_Indiana"
"George W Bush","Republican","Texas","Dick Cheney","12","1 245 836","56 65",2000,"Indiana","https://en.wikipedia.org/wiki/2000_United_States_presidential_election_in_Indiana"
"Al Gore","Democratic","Tennessee","Joe Lieberman","0","901 980","41 01",2000,"Indiana","https://en.wikipedia.org/wiki/2000_United_States_presidential_election_in_Indiana"
"George W Bush","Republican","Texas","Dick Cheney","11","1 479 438","59 94",2004,"Indiana","https://en.wikipedia.org/wiki/2004_United_States_presidential_election_in_Indiana"
"John Kerry","Democratic","Massachusetts","John Edwards","0","969 011","39 26",2004,"Indiana","https://en.wikipedia.org/wiki/2004_United_States_presidential_election_in_Indiana"
"Barack Obama","Democratic","Illinois","Joe Biden","11","1 374 039","49 85",2008,"Indiana","https://en.wikipedia.org/wiki/2008_United_States_presidential_election_in_Indiana"
"John McCain","Republican","Arizona","Sarah Palin","0","1 345 648","48 82",2008,"Indiana","https://en.wikipedia.org/wiki/2008_United_States_presidential_election_in_Indiana"
"Mitt Romney","Republican","Massachusetts","Paul Ryan","11","1 420 543","54 13",2012,"Indiana","https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Indiana"
"Barack Obama","Democratic","Illinois","Joe Biden","0","1 152 887","43 93",2012,"Indiana","https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Indiana"
"Donald Trump","Republican","New York","Mike Pence","11","1 557 286","56 47",2016,"Indiana","https://en.wikipedia.org/wiki/2016_United_States_presidential_election_in_Indiana"
"Hillary Clinton","Democratic","New York","Tim Kaine","0","1 033 126","37 46",2016,"Indiana","https://en.wikipedia.org/wiki/2016_United_States_presidential_election_in_Indiana"
