"Nominee","Party","Home state","Running mate","Electoral vote","Popular vote","Percentage","year","state","url"
"George H W Bush","Republican","Texas","Dan Quayle","3","139 639","55 88",1988,"Delaware","https://en.wikipedia.org/wiki/1988_United_States_presidential_election_in_Delaware"
"Michael Dukakis","Democratic","Massachusetts","Lloyd Bentsen","0","108 647","43 48",1988,"Delaware","https://en.wikipedia.org/wiki/1988_United_States_presidential_election_in_Delaware"
"Bill Clinton","Democratic","Arkansas","Al Gore","3","126 054","43 52",1992,"Delaware","https://en.wikipedia.org/wiki/1992_United_States_presidential_election_in_Delaware"
"George H W Bush","Republican","Texas","Dan Quayle","0","102 313","35 33",1992,"Delaware","https://en.wikipedia.org/wiki/1992_United_States_presidential_election_in_Delaware"
"Ross Perot","Independent","Texas","James Stockdale","0","59 213","20 45",1992,"Delaware","https://en.wikipedia.org/wiki/1992_United_States_presidential_election_in_Delaware"
"Bill Clinton","Democratic","Arkansas","Al Gore","3","140 355","51 82",1996,"Delaware","https://en.wikipedia.org/wiki/1996_United_States_presidential_election_in_Delaware"
"Bob Dole","Republican","Kansas","Jack Kemp","0","99 062","36 58",1996,"Delaware","https://en.wikipedia.org/wiki/1996_United_States_presidential_election_in_Delaware"
"Ross Perot","Independent","Texas","Patrick Choate","0","28 719","10 60",1996,"Delaware","https://en.wikipedia.org/wiki/1996_United_States_presidential_election_in_Delaware"
"Al Gore","Democratic","Tennessee","Joe Lieberman","3","180 068","54 96",2000,"Delaware","https://en.wikipedia.org/wiki/2000_United_States_presidential_election_in_Delaware"
"George W Bush","Republican","Texas","Dick Cheney","0","137 288","41 90",2000,"Delaware","https://en.wikipedia.org/wiki/2000_United_States_presidential_election_in_Delaware"
"John Kerry","Democratic","Massachusetts","John Edwards","3","200 152","53 35",2004,"Delaware","https://en.wikipedia.org/wiki/2004_United_States_presidential_election_in_Delaware"
"George W Bush","Republican","Texas","Dick Cheney","0","171 660","45 75",2004,"Delaware","https://en.wikipedia.org/wiki/2004_United_States_presidential_election_in_Delaware"
"Barack Obama","Democratic","Illinois","Joe Biden","3","255 459","61 94",2008,"Delaware","https://en.wikipedia.org/wiki/2008_United_States_presidential_election_in_Delaware"
"John McCain","Republican","Arizona","Sarah Palin","0","152 374","36 92",2008,"Delaware","https://en.wikipedia.org/wiki/2008_United_States_presidential_election_in_Delaware"
"Barack Obama","Democratic","Illinois","Joe Biden","3","242 584","58 61",2012,"Delaware","https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Delaware"
"Mitt Romney","Republican","Massachusetts","Paul Ryan","0","165 484","39 98",2012,"Delaware","https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Delaware"
"Hillary Clinton","Democratic","New York","Tim Kaine","3","235 603","53 09",2016,"Delaware","https://en.wikipedia.org/wiki/2016_United_States_presidential_election_in_Delaware"
"Donald Trump","Republican","New York","Mike Pence","0","185 127","41 72",2016,"Delaware","https://en.wikipedia.org/wiki/2016_United_States_presidential_election_in_Delaware"
