"Nominee","Party","Home state","Running mate","Electoral vote","Popular vote","Percentage","year","state","url"
"George H W Bush","Republican","Texas","Dan Quayle","4","190 412","52 07",1988,"Montana","https://en.wikipedia.org/wiki/1988_United_States_presidential_election_in_Montana"
"Michael Dukakis","Democratic","Massachusetts","Lloyd Bentsen","0","168 936","46 20",1988,"Montana","https://en.wikipedia.org/wiki/1988_United_States_presidential_election_in_Montana"
"Bill Clinton","Democratic","Arkansas","Al Gore","3","154 507","37 63",1992,"Montana","https://en.wikipedia.org/wiki/1992_United_States_presidential_election_in_Montana"
"George H W Bush","Republican","Texas","Dan Quayle","0","144 207","35 12",1992,"Montana","https://en.wikipedia.org/wiki/1992_United_States_presidential_election_in_Montana"
"Ross Perot","Independent","Texas","James Stockdale","0","107 225","26 12",1992,"Montana","https://en.wikipedia.org/wiki/1992_United_States_presidential_election_in_Montana"
"Bob Dole","Republican","Kansas","Jack Kemp","3","179 652","44 11",1996,"Montana","https://en.wikipedia.org/wiki/1996_United_States_presidential_election_in_Montana"
"Bill Clinton","Democratic","Arkansas","Al Gore","0","167 922","41 23",1996,"Montana","https://en.wikipedia.org/wiki/1996_United_States_presidential_election_in_Montana"
"Ross Perot","Reform","Texas","James Campbell","0","55 229","13 56",1996,"Montana","https://en.wikipedia.org/wiki/1996_United_States_presidential_election_in_Montana"
"George W Bush","Republican","Texas","Dick Cheney","3","240 178","58 44",2000,"Montana","https://en.wikipedia.org/wiki/2000_United_States_presidential_election_in_Montana"
"Al Gore","Democratic","Tennessee","Joe Lieberman","0","137 126","33 36",2000,"Montana","https://en.wikipedia.org/wiki/2000_United_States_presidential_election_in_Montana"
"Ralph Nader","Green","Connecticut","Winona LaDuke","0","24 437","5 95",2000,"Montana","https://en.wikipedia.org/wiki/2000_United_States_presidential_election_in_Montana"
"George W Bush","Republican","Texas","Dick Cheney","3","266 063","59 07",2004,"Montana","https://en.wikipedia.org/wiki/2004_United_States_presidential_election_in_Montana"
"John Kerry","Democratic","Massachusetts","John Edwards","0","173 710","38 56",2004,"Montana","https://en.wikipedia.org/wiki/2004_United_States_presidential_election_in_Montana"
"John McCain","Republican","Arizona","Sarah Palin","3","243 882","49 49",2008,"Montana","https://en.wikipedia.org/wiki/2008_United_States_presidential_election_in_Montana"
"Barack Obama","Democratic","Illinois","Joe Biden","0","232 159","47 11",2008,"Montana","https://en.wikipedia.org/wiki/2008_United_States_presidential_election_in_Montana"
"Mitt Romney","Republican","Massachusetts","Paul Ryan","3","267 928","55 35",2012,"Montana","https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Montana"
"Barack Obama","Democratic","Illinois","Joe Biden","0","201 839","41 70",2012,"Montana","https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Montana"
"Donald Trump","Republican","New York","Mike Pence","3","279 240","56 17",2016,"Montana","https://en.wikipedia.org/wiki/2016_United_States_presidential_election_in_Montana"
"Hillary Clinton","Democratic","New York","Tim Kaine","0","177 709","35 75",2016,"Montana","https://en.wikipedia.org/wiki/2016_United_States_presidential_election_in_Montana"
"Gary Johnson","Libertarian","New Mexico","Bill Weld","0","28 037","5 64",2016,"Montana","https://en.wikipedia.org/wiki/2016_United_States_presidential_election_in_Montana"
