"Nominee","Party","Home state","Running mate","Electoral vote","Popular vote","Percentage","year","state","url"
"Michael Dukakis","Democratic","Massachusetts","Lloyd Bentsen","0","67 113","38 01",1988,"Wyoming","https://en.wikipedia.org/wiki/1988_United_States_presidential_election_in_Wyoming"
"George H W Bush","Republican","Texas","Dan Quayle","3","79 347","39 70",1992,"Wyoming","https://en.wikipedia.org/wiki/1992_United_States_presidential_election_in_Wyoming"
"Bill Clinton","Democratic","Arkansas","Al Gore","0","68 160","34 10",1992,"Wyoming","https://en.wikipedia.org/wiki/1992_United_States_presidential_election_in_Wyoming"
"Ross Perot","Independent","Texas","James Stockdale","0","51 263","25 65",1992,"Wyoming","https://en.wikipedia.org/wiki/1992_United_States_presidential_election_in_Wyoming"
"Bob Dole","Republican","Kansas","Jack Kemp","3","105 388","49 81",1996,"Wyoming","https://en.wikipedia.org/wiki/1996_United_States_presidential_election_in_Wyoming"
"Bill Clinton","Democratic","Arkansas","Al Gore","0","77 934","36 84",1996,"Wyoming","https://en.wikipedia.org/wiki/1996_United_States_presidential_election_in_Wyoming"
"Ross Perot","Independent","Texas","Patrick Choate","0","25 928","12 25",1996,"Wyoming","https://en.wikipedia.org/wiki/1996_United_States_presidential_election_in_Wyoming"
"George W Bush","Republican","Texas","Dick Cheney","3","147 947","67 76",2000,"Wyoming","https://en.wikipedia.org/wiki/2000_United_States_presidential_election_in_Wyoming"
"Al Gore","Democratic","Tennessee","Joe Lieberman","0","60 481","27 70",2000,"Wyoming","https://en.wikipedia.org/wiki/2000_United_States_presidential_election_in_Wyoming"
"George W Bush","Republican","Texas","Dick Cheney","3","167 629","68 86",2004,"Wyoming","https://en.wikipedia.org/wiki/2004_United_States_presidential_election_in_Wyoming"
"John Kerry","Democratic","Massachusetts","John Edwards","0","70 776","29 07",2004,"Wyoming","https://en.wikipedia.org/wiki/2004_United_States_presidential_election_in_Wyoming"
"John McCain","Republican","Arizona","Sarah Palin","3","164 958","64 78",2008,"Wyoming","https://en.wikipedia.org/wiki/2008_United_States_presidential_election_in_Wyoming"
"Barack Obama","Democratic","Illinois","Joe Biden","0","82 868","32 54",2008,"Wyoming","https://en.wikipedia.org/wiki/2008_United_States_presidential_election_in_Wyoming"
"Mitt Romney","Republican","Massachusetts","Paul Ryan","3","170 962","68 64",2012,"Wyoming","https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Wyoming"
"Barack Obama","Democratic","Illinois","Joe Biden","0","69 286","27 82",2012,"Wyoming","https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Wyoming"
"Donald Trump","Republican","New York","Mike Pence","3","174 419","67 40",2016,"Wyoming","https://en.wikipedia.org/wiki/2016_United_States_presidential_election_in_Wyoming"
"Hillary Clinton","Democratic","New York","Tim Kaine","0","55 973","21 63",2016,"Wyoming","https://en.wikipedia.org/wiki/2016_United_States_presidential_election_in_Wyoming"
"Gary Johnson","Libertarian","New Mexico","Bill Weld","0","13 287","5 13",2016,"Wyoming","https://en.wikipedia.org/wiki/2016_United_States_presidential_election_in_Wyoming"
