"Nominee","Party","Home state","Running mate","Electoral vote","Popular vote","Percentage","year","state","url"
"Walter Mondale","Democratic","Minnesota","Geraldine Ferraro","0","187 866","28 81",1984,"Nebraska","https://en.wikipedia.org/wiki/1984_United_States_presidential_election_in_Nebraska"
"George H W Bush","Republican","Texas","Dan Quayle","5","398 447","60 15",1988,"Nebraska","https://en.wikipedia.org/wiki/1988_United_States_presidential_election_in_Nebraska"
"Michael Dukakis","Democratic","Massachusetts","Lloyd Bentsen","0","259 646","39 20",1988,"Nebraska","https://en.wikipedia.org/wiki/1988_United_States_presidential_election_in_Nebraska"
"George H W Bush","Republican","Texas","Dan Quayle","5","344 346","46 58",1992,"Nebraska","https://en.wikipedia.org/wiki/1992_United_States_presidential_election_in_Nebraska"
"Bill Clinton","Democratic","Arkansas","Al Gore","0","217 344","29 40",1992,"Nebraska","https://en.wikipedia.org/wiki/1992_United_States_presidential_election_in_Nebraska"
"Ross Perot","Independent","Texas","James Stockdale","0","174 687","23 63",1992,"Nebraska","https://en.wikipedia.org/wiki/1992_United_States_presidential_election_in_Nebraska"
"Bob Dole","Republican","Kansas","Jack Kemp","5","363 467","53 65",1996,"Nebraska","https://en.wikipedia.org/wiki/1996_United_States_presidential_election_in_Nebraska"
"Bill Clinton","Democratic","Arkansas","Al Gore","0","236 761","34 95",1996,"Nebraska","https://en.wikipedia.org/wiki/1996_United_States_presidential_election_in_Nebraska"
"Ross Perot","Reform","Texas","Pat Choate","0","71 278","10 52",1996,"Nebraska","https://en.wikipedia.org/wiki/1996_United_States_presidential_election_in_Nebraska"
"George W Bush","Republican","Texas","Dick Cheney","5","433 862","62 25",2000,"Nebraska","https://en.wikipedia.org/wiki/2000_United_States_presidential_election_in_Nebraska"
"Al Gore","Democratic","Tennessee","Joe Lieberman","0","231 780","33 25",2000,"Nebraska","https://en.wikipedia.org/wiki/2000_United_States_presidential_election_in_Nebraska"
"George W Bush","Republican","Texas","Dick Cheney","5","512 814","65 90",2004,"Nebraska","https://en.wikipedia.org/wiki/2004_United_States_presidential_election_in_Nebraska"
"John Kerry","Democratic","Massachusetts","John Edwards","0","254 328","32 68",2004,"Nebraska","https://en.wikipedia.org/wiki/2004_United_States_presidential_election_in_Nebraska"
"John McCain","Republican","Arizona","Sarah Palin","4","452 979","56 53",2008,"Nebraska","https://en.wikipedia.org/wiki/2008_United_States_presidential_election_in_Nebraska"
"Barack Obama","Democratic","Illinois","Joe Biden","1","333 319","41 60",2008,"Nebraska","https://en.wikipedia.org/wiki/2008_United_States_presidential_election_in_Nebraska"
"Mitt Romney","Republican","Massachusetts","Paul Ryan","5","475 064","59 80",2012,"Nebraska","https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Nebraska"
"Barack Obama","Democratic","Illinois","Joe Biden","0","302 081","38 03",2012,"Nebraska","https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Nebraska"
"Donald Trump","Republican","New York","Mike Pence","5","495 961","58 75",2016,"Nebraska","https://en.wikipedia.org/wiki/2016_United_States_presidential_election_in_Nebraska"
"Hillary Clinton","Democratic","New York","Tim Kaine","0","284 494","33 70",2016,"Nebraska","https://en.wikipedia.org/wiki/2016_United_States_presidential_election_in_Nebraska"
