"Nominee","Party","Home state","Running mate","Electoral vote","Popular vote","Percentage","year","state","url"
"Michael Dukakis","Democratic","Massachusetts","Lloyd Bentsen","13","1 401 406","53 23",1988,"Massachusetts","https://en.wikipedia.org/wiki/1988_United_States_presidential_election_in_Massachusetts"
"George H W Bush","Republican","Texas","Dan Quayle","0","1 194 644","45 38",1988,"Massachusetts","https://en.wikipedia.org/wiki/1988_United_States_presidential_election_in_Massachusetts"
"Bill Clinton","Democratic","Arkansas","Al Gore","12","1 318 662","47 54",1992,"Massachusetts","https://en.wikipedia.org/wiki/1992_United_States_presidential_election_in_Massachusetts"
"George H W Bush","Republican","Texas","Dan Quayle","0","805 049","29 03",1992,"Massachusetts","https://en.wikipedia.org/wiki/1992_United_States_presidential_election_in_Massachusetts"
"Ross Perot","Independent","Texas","James Stockdale","0","632 312","22 80",1992,"Massachusetts","https://en.wikipedia.org/wiki/1992_United_States_presidential_election_in_Massachusetts"
"Bill Clinton","Democratic","Arkansas","Al Gore","12","1 571 763","61 47",1996,"Massachusetts","https://en.wikipedia.org/wiki/1996_United_States_presidential_election_in_Massachusetts"
"Bob Dole","Republican","Kansas","Jack Kemp","0","718 107","28 09",1996,"Massachusetts","https://en.wikipedia.org/wiki/1996_United_States_presidential_election_in_Massachusetts"
"Ross Perot","Reform","Texas","Pat Choate","0","227 217","8 89",1996,"Massachusetts","https://en.wikipedia.org/wiki/1996_United_States_presidential_election_in_Massachusetts"
"Al Gore","Democratic","Tennessee","Joe Lieberman","12","1 616 487","59 80",2000,"Massachusetts","https://en.wikipedia.org/wiki/2000_United_States_presidential_election_in_Massachusetts"
"George W Bush","Republican","Texas","Dick Cheney","0","878 502","32 50",2000,"Massachusetts","https://en.wikipedia.org/wiki/2000_United_States_presidential_election_in_Massachusetts"
"Ralph Nader","Green","Connecticut","Winona LaDuke","0","173 564","6 42",2000,"Massachusetts","https://en.wikipedia.org/wiki/2000_United_States_presidential_election_in_Massachusetts"
"John Kerry","Democratic","Massachusetts","John Edwards","12","1 803 800","61 94",2004,"Massachusetts","https://en.wikipedia.org/wiki/2004_United_States_presidential_election_in_Massachusetts"
"George W Bush","Republican","Texas","Dick Cheney","0","1 071 109","36 78",2004,"Massachusetts","https://en.wikipedia.org/wiki/2004_United_States_presidential_election_in_Massachusetts"
"Barack Obama","Democratic","Illinois","Joe Biden","12","1 904 098","61 80",2008,"Massachusetts","https://en.wikipedia.org/wiki/2008_United_States_presidential_election_in_Massachusetts"
"John McCain","Republican","Arizona","Sarah Palin","0","1 108 854","35 99",2008,"Massachusetts","https://en.wikipedia.org/wiki/2008_United_States_presidential_election_in_Massachusetts"
"Barack Obama","Democratic","Illinois","Joe Biden","11","1 921 290","60 65",2012,"Massachusetts","https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Massachusetts"
"Mitt Romney","Republican","Massachusetts","Paul Ryan","0","1 188 314","37 51",2012,"Massachusetts","https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Massachusetts"
"Hillary Clinton","Democratic","New York","Tim Kaine","11","1 995 196","60 98",2016,"Massachusetts","https://en.wikipedia.org/wiki/2016_United_States_presidential_election_in_Massachusetts"
"Donald Trump","Republican","New York","Mike Pence","0","1 090 893","33 34",2016,"Massachusetts","https://en.wikipedia.org/wiki/2016_United_States_presidential_election_in_Massachusetts"
