"Nominee","Party","Home state","Running mate","Electoral vote","Popular vote","Percentage","year","state","url"
"Walter Mondale","Democratic","Minnesota","Geraldine Ferraro","0","352 192","37 46",1984,"Mississippi","https://en.wikipedia.org/wiki/1984_United_States_presidential_election_in_Mississippi"
"George H W Bush","Republican","Texas","Dan Quayle","7","557 890","59 89",1988,"Mississippi","https://en.wikipedia.org/wiki/1988_United_States_presidential_election_in_Mississippi"
"Michael Dukakis","Democratic","Massachusetts","Lloyd Bentsen","0","363 921","39 07",1988,"Mississippi","https://en.wikipedia.org/wiki/1988_United_States_presidential_election_in_Mississippi"
"George H W Bush","Republican","Texas","Dan Quayle","7","487 793","49 68",1992,"Mississippi","https://en.wikipedia.org/wiki/1992_United_States_presidential_election_in_Mississippi"
"Bill Clinton","Democratic","Arkansas","Al Gore","0","400 258","40 77",1992,"Mississippi","https://en.wikipedia.org/wiki/1992_United_States_presidential_election_in_Mississippi"
"Ross Perot","Independent","Texas","James Stockdale","0","85 626","8 72",1992,"Mississippi","https://en.wikipedia.org/wiki/1992_United_States_presidential_election_in_Mississippi"
"Bob Dole","Republican","Kansas","Jack Kemp","7","439 838","49 21",1996,"Mississippi","https://en.wikipedia.org/wiki/1996_United_States_presidential_election_in_Mississippi"
"Bill Clinton","Democratic","Arkansas","Al Gore","0","394 022","44 08",1996,"Mississippi","https://en.wikipedia.org/wiki/1996_United_States_presidential_election_in_Mississippi"
"Ross Perot","Independent","Texas","Pat Choate","0","52 222","5 84",1996,"Mississippi","https://en.wikipedia.org/wiki/1996_United_States_presidential_election_in_Mississippi"
"George W Bush","Republican","Texas","Dick Cheney","7","573 230","57 62",2000,"Mississippi","https://en.wikipedia.org/wiki/2000_United_States_presidential_election_in_Mississippi"
"Al Gore","Democratic","Tennessee","Joe Lieberman","0","404 964","40 70",2000,"Mississippi","https://en.wikipedia.org/wiki/2000_United_States_presidential_election_in_Mississippi"
"George W Bush","Republican","Texas","Dick Cheney","6","684 981","59 44",2004,"Mississippi","https://en.wikipedia.org/wiki/2004_United_States_presidential_election_in_Mississippi"
"John Kerry","Democratic","Massachusetts","John Edwards","0","458 094","39 75",2004,"Mississippi","https://en.wikipedia.org/wiki/2004_United_States_presidential_election_in_Mississippi"
"John McCain","Republican","Arizona","Sarah Palin","6","724 597","56 17",2008,"Mississippi","https://en.wikipedia.org/wiki/2008_United_States_presidential_election_in_Mississippi"
"Barack Obama","Democratic","Illinois","Joe Biden","0","554 662","43 00",2008,"Mississippi","https://en.wikipedia.org/wiki/2008_United_States_presidential_election_in_Mississippi"
"Mitt Romney","Republican","Massachusetts","Paul Ryan","6","710 746","55 29",2012,"Mississippi","https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Mississippi"
"Barack Obama","Democratic","Illinois","Joe Biden","0","562 949","43 79",2012,"Mississippi","https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Mississippi"
"Donald Trump","Republican","New York","Mike Pence","6","700 714","57 86",2016,"Mississippi","https://en.wikipedia.org/wiki/2016_United_States_presidential_election_in_Mississippi"
"Hillary Clinton","Democratic","New York","Tim Kaine","0","485 131","40 06",2016,"Mississippi","https://en.wikipedia.org/wiki/2016_United_States_presidential_election_in_Mississippi"
